ID,question,concept,candidate_statement,SimCSE_score,relevant,correct
24eebfa678112100803da16dde148b2d|A|c|0,Where would you put a container can after you buy it?,pantry,pantry can store things,0.5914,Yes,Yes
24eebfa678112100803da16dde148b2d|A|c|1,Where would you put a container can after you buy it?,pantry,pantry can be used for storage,0.5741,Yes,Yes
24eebfa678112100803da16dde148b2d|A|c|2,Where would you put a container can after you buy it?,pantry,pantry can be used for storing things in,0.5741,Yes,Yes
24eebfa678112100803da16dde148b2d|A|c|3,Where would you put a container can after you buy it?,pantry,pantry can be used for keeping things cool,0.5280,No,No
24eebfa678112100803da16dde148b2d|A|c|4,Where would you put a container can after you buy it?,pantry,pantry have (a) store edible items,0.5166,Yes,Yes
24eebfa678112100803da16dde148b2d|B|c|0,Where would you put a container can after you buy it?,store,store can be used for to keep items,0.5691,No,Yes
24eebfa678112100803da16dde148b2d|B|c|1,Where would you put a container can after you buy it?,store,store can be used for storing physical things,0.5609,No,Yes
24eebfa678112100803da16dde148b2d|B|c|2,Where would you put a container can after you buy it?,store,store is removable,0.5289,No,No
24eebfa678112100803da16dde148b2d|B|c|3,Where would you put a container can after you buy it?,store,store is not a thing you have on person,0.5220,No,No
24eebfa678112100803da16dde148b2d|E|c|0,Where would you put a container can after you buy it?,garage,garage is a place to store items,0.6174,Yes,Yes
24eebfa678112100803da16dde148b2d|E|c|1,Where would you put a container can after you buy it?,garage,garage can somewhere you can walk into,0.6145,Yes,Yes
24eebfa678112100803da16dde148b2d|E|c|2,Where would you put a container can after you buy it?,garage,garage can be used for storing things,0.6084,Yes,Yes
24eebfa678112100803da16dde148b2d|E|c|3,Where would you put a container can after you buy it?,garage,garage can be used for storage,0.6070,Yes,Yes
24eebfa678112100803da16dde148b2d|E|c|4,Where would you put a container can after you buy it?,garage,garage is a store items,0.6047,Yes,Yes
85a15ec7e70ac05d1d94ac0c811c3108|A|c|0,What is rain a type of?,snow,snow is a n animal,0.6478,No,No
85a15ec7e70ac05d1d94ac0c811c3108|A|c|1,What is rain a type of?,snow,snow is not hot,0.6419,No,Yes
