candidate_id,candidate_statement,correctness
7389,"broccoli is green, which makes it different from garlic",Yes
9175,"camel is fluffy, which makes it different from deer",No
11663,"girl have (a) color, which makes it different from boy",No
6943,"shoulder is a joint, which makes it different from foot",No
4631,"razor have (a) sharp cutting edge, which makes it different from pencil",Yes
5350,"grapefruit is a citrus fruit, which makes it different from pineapple",Yes
12860,"frog can be kept inside a bedroom, which makes it different from cow",Yes
3131,"woman is two syllables, which makes it different from girl",Yes
4128,"hare have (a) big ears, which makes it different from mink",Yes
11975,"dishwasher is a larger than a child, which makes it different from kettle",Not Sure
6440,"arm is part of (a) pair (comes in pairs), which makes it different from finger",Yes
8972,"scooter have (a) wheels, which makes it different from buggy",No
14032,"cupboard can be found on a countertop, which makes it different from fridge",Yes
1216,"shrimp have (a) legs/tentacles, which makes it different from mackerel",Yes
9672,"trousers is worn below the waist, which makes it different from shirt",Yes
7247,"spider can kill a human, which makes it different from squirrel",Yes
10825,"kite can be found at a beach, which makes it different from vulture",Yes
9841,"crocodile is a predator, which makes it different from zebra",Yes
11408,"cherry have (a) stone, which makes it different from raspberry",Yes
13198,"pepper have (a) seeds, which makes it different from olive",Yes
11806,"dress can be found upper part of body, which makes it different from skirt",Yes
4765,"trombone have (a) start with a t, which makes it different from saxophone",Yes
7294,"gate is a component of a home, which makes it different from chapel",Yes
7535,"mug can be held to drink, which makes it different from kettle",Yes
9125,"bagpipe is a wind instrument, which makes it different from violin",Yes
6435,"scarf is a accessory, which makes it different from coat",Yes
5642,"shoes can be found foot, which makes it different from trousers",Yes
9860,"trumpet can be played with mouth, which makes it different from banjo",Yes
2960,"toaster can be used for cooking food, which makes it different from blender",Yes
2980,"sister is part of (a) close blood relative, which makes it different from aunt",No
2137,"guitar can be used for sound, which makes it different from saxophone",No
10090,"rabbit is domesticable (usually), which makes it different from deer",Yes
4863,"skunk is a fragile, which makes it different from mink",No
7413,"man is a head, which makes it different from woman",No
15144,"socks can be used for feet, which makes it different from skirt",Yes
5945,"door is made of wood, which makes it different from curtains",Not Sure
14146,"saxophone is a wind instrument, which makes it different from violin",Yes
11018,"fridge can be plugged in, which makes it different from sink",Yes
