reference_id,candidate_statement,valid,Remarks
1,dress and trousers can be discriminated with sleeves,Valid,
1183,pants and jacket can be discriminated with zippers,Invalid,
3,pants and jacket can be discriminated with loops,Valid,
3624,pants and jacket can be discriminated with cuffs,Valid,
2490,blouse and dress can be discriminated with collar,Valid,
6,girl and mother can be discriminated with virgin,Valid,
1119,lamp and mirror can be discriminated with switch,Valid,
1284,lamp and mirror can be discriminated with shade,Valid,
2311,rabbit and squirrel can be discriminated with carrots,Valid,
8,rabbit and squirrel can be discriminated with hops,Valid,
3892,fridge and stove can be discriminated with drawers,Valid,
1957,fridge and stove can be discriminated with freezer,Valid,
11,onions and tomato can be discriminated with layers,Valid,
12,ox and elk can be discriminated with grass,Valid,
3309,elephant and camel can be discriminated with ears,Valid,
14,elephant and camel can be discriminated with trunk,Valid,
1435,elephant and zebra can be discriminated with tusks,Valid,
2343,elephant and zebra can be discriminated with peanuts,Valid,
16,thermometer and tray can be discriminated with numbers,Valid,
3514,coat and socks can be discriminated with buttons,Valid,
2548,coat and socks can be discriminated with materials,Invalid,
287,coat and socks can be discriminated with sleeves,Valid,
794,ant and beetle can be discriminated with antennae,Valid,
1406,bagpipe and tuba can be discriminated with bag,Valid,
1312,pants and shoes can be discriminated with buttons,Valid,
1236,pants and shoes can be discriminated with materials,Valid,
1567,pants and shoes can be discriminated with seams,Valid,I'm not sure what seams refer to
2544,pants and shoes can be discriminated with cuffs,Valid,
1995,trout and squid can be discriminated with fins,Valid,
24,cupboard and oven can be discriminated with shelves,Valid,
25,cougar and caribou can be discriminated with animals,Invalid,
2454,microwave and fridge can be discriminated with shaped,Invalid,
30,crocodile and elk can be discriminated with scales,Valid,
32,walls and roof can be discriminated with window,Valid,
3250,rattlesnake and iguana can be discriminated with slithers,Valid,
960,rattlesnake and iguana can be discriminated with fangs,Valid,
33,rattlesnake and iguana can be discriminated with scales,Valid,
34,plug and hose can be discriminated with wires,Valid,
35,orange and lemon can be discriminated with pulp,Valid,
