reference_id,candidate_id,reference_statement,candidate_statement,overlap
1,10933,dress and trousers can be discriminated with sleeves,"dress can be found on your upper torso, which makes it different from trousers",No
1,4223,dress and trousers can be discriminated with sleeves,"dress can be found upper part of body, which makes it different from trousers",No
1,15340,dress and trousers can be discriminated with sleeves,"dress is a typically female clothing item, which makes it different from trousers",No
1,10265,dress and trousers can be discriminated with sleeves,"dress have (a) sleeves, which makes it different from trousers",Yes
1,12242,dress and trousers can be discriminated with sleeves,"dress can be used for by mainly women, which makes it different from trousers",No
767,737,pants and jacket can be discriminated with materials,"pants can keep legs warm, which makes it different from jacket",No
767,14944,pants and jacket can be discriminated with materials,"pants can be found on lower body, which makes it different from jacket",No
767,2675,pants and jacket can be discriminated with materials,"pants is worn below the waist, which makes it different from jacket",No
767,8103,pants and jacket can be discriminated with materials,"pants is part of (a) pair, which makes it different from jacket",No
767,9710,pants and jacket can be discriminated with materials,"pants is a worn on the lower body, which makes it different from jacket",No
767,1437,pants and jacket can be discriminated with materials,"pants can be used for covering legs, which makes it different from jacket",No
767,8437,pants and jacket can be discriminated with materials,"pants can keep 2 legs covered, which makes it different from jacket",No
767,3624,pants and jacket can be discriminated with materials,"pants is part of (a) lower waistline, which makes it different from jacket",No
3,737,pants and jacket can be discriminated with loops,"pants can keep legs warm, which makes it different from jacket",No
3,14944,pants and jacket can be discriminated with loops,"pants can be found on lower body, which makes it different from jacket",No
3,2675,pants and jacket can be discriminated with loops,"pants is worn below the waist, which makes it different from jacket",No
3,8103,pants and jacket can be discriminated with loops,"pants is part of (a) pair, which makes it different from jacket",No
3,9710,pants and jacket can be discriminated with loops,"pants is a worn on the lower body, which makes it different from jacket",No
3,1437,pants and jacket can be discriminated with loops,"pants can be used for covering legs, which makes it different from jacket",No
3,8437,pants and jacket can be discriminated with loops,"pants can keep 2 legs covered, which makes it different from jacket",No
3,3624,pants and jacket can be discriminated with loops,"pants is part of (a) lower waistline, which makes it different from jacket",No
1199,8066,blouse and dress can be discriminated with silk,"blouse have (a) sleeves, which makes it different from dress",No
5,8066,blouse and dress can be discriminated with buttons,"blouse have (a) sleeves, which makes it different from dress",Yes
6,14759,girl and mother can be discriminated with virgin,"girl can be used for transportation, which makes it different from mother",No
6,9515,girl and mother can be discriminated with virgin,"girl is a picture of a female, which makes it different from mother",No
1960,8271,lamp and mirror can be discriminated with lightbulbs,"lamp can be used for lighting, which makes it different from mirror",Yes
1960,3648,lamp and mirror can be discriminated with lightbulbs,"lamp can generate light, which makes it different from mirror",Yes
1960,15008,lamp and mirror can be discriminated with lightbulbs,"lamp can be used for a light source, which makes it different from mirror",Yes
1960,11494,lamp and mirror can be discriminated with lightbulbs,"lamp is makes light, which makes it different from mirror",Yes
1960,236,lamp and mirror can be discriminated with lightbulbs,"lamp can be used for providing light, which makes it different from mirror",Yes
1960,15234,lamp and mirror can be discriminated with lightbulbs,"lamp can give off light/glow, which makes it different from mirror",Yes
2311,4917,rabbit and squirrel can be discriminated with carrots,"rabbit can eat palm nuts, which makes it different from squirrel",No
2311,11338,rabbit and squirrel can be discriminated with carrots,"rabbit is a common pet, which makes it different from squirrel",No
2311,8110,rabbit and squirrel can be discriminated with carrots,"rabbit is part of (a) jumping, which makes it different from squirrel",No
2311,3959,rabbit and squirrel can be discriminated with carrots,"rabbit have (a) long ears, which makes it different from squirrel",No
2311,13041,rabbit and squirrel can be discriminated with carrots,"rabbit is a animal with long ears, which makes it different from squirrel",No
2311,10074,rabbit and squirrel can be discriminated with carrots,"rabbit have (a) long ear, which makes it different from squirrel",No
2311,15427,rabbit and squirrel can be discriminated with carrots,"rabbit can be found underground, which makes it different from squirrel",No
8,4917,rabbit and squirrel can be discriminated with hops,"rabbit can eat palm nuts, which makes it different from squirrel",No
8,11338,rabbit and squirrel can be discriminated with hops,"rabbit is a common pet, which makes it different from squirrel",No
8,8110,rabbit and squirrel can be discriminated with hops,"rabbit is part of (a) jumping, which makes it different from squirrel",Yes
8,3959,rabbit and squirrel can be discriminated with hops,"rabbit have (a) long ears, which makes it different from squirrel",No
8,13041,rabbit and squirrel can be discriminated with hops,"rabbit is a animal with long ears, which makes it different from squirrel",No
8,10074,rabbit and squirrel can be discriminated with hops,"rabbit have (a) long ear, which makes it different from squirrel",No
8,15427,rabbit and squirrel can be discriminated with hops,"rabbit can be found underground, which makes it different from squirrel",No
1472,4917,rabbit and squirrel can be discriminated with ears,"rabbit can eat palm nuts, which makes it different from squirrel",No
1472,11338,rabbit and squirrel can be discriminated with ears,"rabbit is a common pet, which makes it different from squirrel",No
