reference_id,candidate_id,reference_statement,candidate_statement,overlap
3624,737,pants and jacket can be discriminated with cuffs,"pants can keep legs warm, which makes it different from jacket",No
3624,14944,pants and jacket can be discriminated with cuffs,"pants can be found on lower body, which makes it different from jacket",No
3624,2675,pants and jacket can be discriminated with cuffs,"pants is worn below the waist, which makes it different from jacket",No
3624,8103,pants and jacket can be discriminated with cuffs,"pants is part of (a) pair, which makes it different from jacket",No
3624,9710,pants and jacket can be discriminated with cuffs,"pants is a worn on the lower body, which makes it different from jacket",No
3624,1437,pants and jacket can be discriminated with cuffs,"pants can be used for covering legs, which makes it different from jacket",No
3624,8437,pants and jacket can be discriminated with cuffs,"pants can keep 2 legs covered, which makes it different from jacket",No
3624,3624,pants and jacket can be discriminated with cuffs,"pants is part of (a) lower waistline, which makes it different from jacket",No
767,737,pants and jacket can be discriminated with materials,"pants can keep legs warm, which makes it different from jacket",No
767,14944,pants and jacket can be discriminated with materials,"pants can be found on lower body, which makes it different from jacket",No
767,2675,pants and jacket can be discriminated with materials,"pants is worn below the waist, which makes it different from jacket",No
767,8103,pants and jacket can be discriminated with materials,"pants is part of (a) pair, which makes it different from jacket",No
767,9710,pants and jacket can be discriminated with materials,"pants is a worn on the lower body, which makes it different from jacket",No
767,1437,pants and jacket can be discriminated with materials,"pants can be used for covering legs, which makes it different from jacket",No
767,8437,pants and jacket can be discriminated with materials,"pants can keep 2 legs covered, which makes it different from jacket",No
767,3624,pants and jacket can be discriminated with materials,"pants is part of (a) lower waistline, which makes it different from jacket",No
3,737,pants and jacket can be discriminated with loops,"pants can keep legs warm, which makes it different from jacket",No
3,14944,pants and jacket can be discriminated with loops,"pants can be found on lower body, which makes it different from jacket",No
3,2675,pants and jacket can be discriminated with loops,"pants is worn below the waist, which makes it different from jacket",No
3,8103,pants and jacket can be discriminated with loops,"pants is part of (a) pair, which makes it different from jacket",No
3,9710,pants and jacket can be discriminated with loops,"pants is a worn on the lower body, which makes it different from jacket",No
3,1437,pants and jacket can be discriminated with loops,"pants can be used for covering legs, which makes it different from jacket",No
