candidate_id,candidate_statement,correctness
12688,"bed is in the bedroom, which makes it different from door",No
10598,"avocado have (a) one big hard seed, which makes it different from grapefruit",Yes
6943,"shoulder is a joint, which makes it different from foot",Yes
14562,"hawk is a predator, which makes it different from stork",Yes
9017,"wrist is a joint, which makes it different from toe",Yes
1954,"king is a title, which makes it different from son",Yes
9714,"giraffe can be used for carrying items at the store, which makes it different from elephant",No
6592,"boots can be found foot, which makes it different from dress",Yes
11975,"dishwasher is a larger than a child, which makes it different from kettle",Yes
8972,"scooter have (a) wheels, which makes it different from buggy",No
1216,"shrimp have (a) legs/tentacles, which makes it different from mackerel",Yes
3751,"barn is beginning with a letter b, which makes it different from house",Yes
8522,"crocodile is carnivorous, which makes it different from bison",Yes
10825,"kite can be found at a beach, which makes it different from vulture",Yes
13445,"hose is a vessel, which makes it different from rope",No
3959,"rabbit have (a) long ears, which makes it different from squirrel",Yes
1670,"stereo can be used for electronic uses, which makes it different from tape",Yes
11806,"dress can be found upper part of body, which makes it different from skirt",Yes
7076,"neck is made of upper body parts, which makes it different from toe",Yes
12470,"squirrel can be found on  a tree, which makes it different from hare",Yes
11184,"corn is yellow or orange, which makes it different from beans",Yes
7535,"mug can be held to drink, which makes it different from kettle",Yes
9125,"bagpipe is a wind instrument, which makes it different from violin",Yes
9349,"buggy can carry multiple people, which makes it different from scooter",No
5642,"shoes can be found foot, which makes it different from trousers",Yes
8077,"sheep can be found jungle, which makes it different from rabbit",Not Sure
4700,"cherry have (a) eatable shell or peel, which makes it different from coconut",Yes
2980,"sister is part of (a) close blood relative, which makes it different from aunt",Yes
12481,"elbow is part of (a) the upper body, which makes it different from toe",Yes
11122,"guitar is made of strings, which makes it different from clarinet",Yes
4863,"skunk is a fragile, which makes it different from mink",Not Sure
8116,"wall can be used for lighting, which makes it different from cupboard",Not Sure
13640,"camel can be used for crossing deserts, which makes it different from hyena",Yes
10052,"grapefruit have (a) usually inedible skin, which makes it different from cranberry",Yes
14146,"saxophone is a wind instrument, which makes it different from violin",Yes
5314,"gate can be found at your home, which makes it different from church",Not Sure
1770,"elephant have (a) antlers or tusks, which makes it different from bison",Yes
8231,"spatula is made of /mostly made of metal, which makes it different from brush",Yes
13991,"tiger have (a) fur, which makes it different from frog",Yes
15145,"grapefruit is a citrus fruit, which makes it different from raspberry",Yes
13251,"freezer is a electrical appliance, which makes it different from sink",Yes
3597,"strawberry is a berry, which makes it different from pear",Yes
15429,"barrel can be used for storing wine, which makes it different from tray",Yes
2427,"corn is a vegetable, which makes it different from coconut",Yes
11940,"toe is part of (a) lower body, which makes it different from finger",Yes
3882,"eagle have (a) large wing span, which makes it different from sparrow",Yes
15186,"arm can be used for waving, which makes it different from neck",Yes
12880,"microwave can be used for cooking food, which makes it different from kettle",Not Sure
4828,"vulture is a alive, which makes it different from falcon",No
9422,"leg can be found on lower body, which makes it different from neck",Yes
7537,"wife is a direct or immediate relation, which makes it different from actress",Yes
937,"neck is mostly of cylindrical shape, which makes it different from hand",Yes
7688,"lemon is a fruit, which makes it different from cucumber",Yes
11650,"gorilla is a predator, which makes it different from elephant",Yes
2552,"snail is a insect, which makes it different from turtle",Yes
8550,"deer is part of (a) herd, which makes it different from squirrel",Yes
6835,"mink is living in water, which makes it different from elk",Yes
9870,"faucet is made of metal/steel, which makes it different from tap",No
10725,"pony is fluffy, which makes it different from cow",No
3985,"kettle is a electric powered item, which makes it different from spoon",Yes
10154,"crocodile is eat meat, which makes it different from frog",Yes
7623,"pistol is a hand-held weapon, which makes it different from barrel",Yes
15004,"harpsichord is made of strings, which makes it different from trumpet",Yes
14087,"fridge is made of /mostly made of metal, which makes it different from cupboard",Yes
15123,"chicken is a animal, which makes it different from tomato",Yes
11540,"jacket can be found on your upper torso, which makes it different from boots",Yes
7997,"seagull is usually mostly white colored, which makes it different from eagle",Yes
6076,"truck have (a) wheels, which makes it different from wheel",Yes
11994,"shotgun can lifted by one hand, which makes it different from cannon",Yes
7043,"sheep is fluffy, which makes it different from deer",Yes
14706,"gate is a component of a home, which makes it different from inn",No
3786,"lemon have (a) usually inedible skin, which makes it different from strawberry",Yes
13327,"hair is a limb, which makes it different from eye",No
9232,"snail is an insect, which makes it different from frog",Yes
1714,"dog have (a) fur, which makes it different from elephant",Yes
2788,"squid have (a) legs/tentacles, which makes it different from cod",Yes
3807,"room is part of (a) room, which makes it different from floor",No
4294,"skin is a limb, which makes it different from nail",No
12439,"cherry have (a) edible skin, which makes it different from avocado",Yes
6301,"trombone can be used for sound, which makes it different from saxophone",No
163,"camel is domesticable (usually), which makes it different from elephant",Not Sure
7106,"hose is a mostly black in colour, which makes it different from plug",Not Sure
6294,"chicken is a animal, which makes it different from potato",Yes
10321,"princess is royalty, which makes it different from aunt",Yes
1052,"paintbrush can be used for drawing or painting, which makes it different from spatula",Yes
3498,"horse can be used for riding, which makes it different from dog",Yes
3586,"pencil can writing, which makes it different from brush",No
4807,"frog is four-legged, which makes it different from mouse",No
2135,"screws can be used for building, which makes it different from hose",Yes
9402,"leopard is a type of big cat, which makes it different from bison",Yes
10514,"socks can be found on lower body, which makes it different from dress",Yes
12869,"boat is a big heavy motor vehicle, which makes it different from bike",Yes
490,"buggy have (a) an engine, which makes it different from skateboard",Yes
444,"cupboard can be found on a countertop, which makes it different from closet",Yes
12705,"alligator can hunt other animals, which makes it different from raccoon",Yes
8464,"tank can use electricity, which makes it different from barrel",Yes
6616,"jeans is part of (a) lower waistline, which makes it different from jacket",Yes
12487,"dress have (a) sleeves, which makes it different from pants",No
7038,"truck have (a) wheels, which makes it different from boat",Yes
4947,"scissors have (a) sharp cutting edge, which makes it different from comb",Yes
3860,"finger can be found upper body, which makes it different from toe",Yes
10062,"plum is a word beginning with p, which makes it different from banana",Yes
7829,"rabbit is a meat or animal, which makes it different from potato",Yes
5846,"otter can climb on tree, which makes it different from hare",Yes
8836,"plug is a electric, which makes it different from hose",Yes
10991,"squirrel can climb trees, which makes it different from hare",Yes
12302,"mixer is a  kitchen appliance, which makes it different from stereo",Yes
10182,"cupboard can be found in the room you sleep, which makes it different from door",Yes
2757,"jeans is a worn on the lower body, which makes it different from gown",Yes
2246,"gate have (a) own altar, which makes it different from church",Yes
4099,"leopard is a like a cat, which makes it different from zebra",Yes
486,"knee is part of (a) lower body, which makes it different from elbow",Yes
13813,"soup is a liquid, which makes it different from bean",Yes
14949,"cannon can be used for firing artillery, which makes it different from grenade",Yes
9135,"wife can be used for a married person, which makes it different from daughter",Yes
5557,"jeans can keep 2 legs covered, which makes it different from dress",Yes
9204,"pants can keep 2 legs covered, which makes it different from boots",Yes
6617,"woman have (a) color, which makes it different from boy",No
4093,"gun can be held in a hand, which makes it different from tank",Yes
2494,"knee is a joint, which makes it different from arm",Yes
3360,"tiger is eat meat, which makes it different from elephant",Yes
7562,"hawk is a predator, which makes it different from duck",Yes
8093,"tank is a weapon, which makes it different from barrel",Yes
5904,"bedroom have (a) start with a b, which makes it different from apartment",Yes
7351,"bridge have (a)  place for worship, which makes it different from inn",No
1706,"lemon is a citrus fruit, which makes it different from strawberry",Yes
4921,"jacket have (a) sleeves, which makes it different from trousers",Yes
9909,"trombone is a wind instrument, which makes it different from banjo",Yes
5746,"rabbit is a this is more responsive heeyyy, which makes it different from raccoon",No
8754,"giraffe is a herbivore, which makes it different from hyena",Yes
5264,"finger have (a) nails, which makes it different from arm",Yes
318,"mackerel can be found at sea, which makes it different from asparagus",Yes
1910,"lemon is yellow, which makes it different from grapefruit",Yes
11665,"alligator can walk on 4 legs, which makes it different from rattlesnake",Yes
10028,"flute is a wind instrument, which makes it different from piano",Yes
1099,"eagle have (a) large wingspan, which makes it different from buzzard",Yes
2562,"hare have (a) long ear, which makes it different from squirrel",Yes
14669,"salmon have (a) fins, which makes it different from chicken",Yes
3943,"bag can be found on your upper torso, which makes it different from boots",Yes
3306,"roof can be found above your head in general, which makes it different from deck",Yes
4675,"tank can be used for shooting, which makes it different from wheel",Yes
10634,"drill can be found in a toolbox, which makes it different from hose",Yes
13917,"camel can be found jungle, which makes it different from rabbit",Yes
462,"spider is a insect, which makes it different from snail",No
8657,"tank can used in war, which makes it different from barrel",Yes
11316,"apartment is typically a rentable location, which makes it different from cabin",Yes
1632,"sister have (a) blood relation with you, which makes it different from actress",Yes
4014,"gun can lifted by one hand, which makes it different from rocket",Yes
3746,"squirrel can be held, which makes it different from mink",Not Sure
12777,"camel can be found jungle, which makes it different from cow",Yes
14454,"mother is a direct relation, which makes it different from princess",Yes
1800,"fan is a mostly black in colour, which makes it different from rock",No
8953,"squirrel can climb on tree, which makes it different from rabbit",Yes
8587,"oven can be plugged in, which makes it different from cupboard",Yes
9310,"arm is something humans have two of, which makes it different from finger",Yes
3762,"jeep have (a) an engine, which makes it different from canoe",Yes
44,"strawberry is a red  or orang, which makes it different from cranberry",No
4812,"tuba is a wind instrument, which makes it different from harpsichord",Yes
8082,"hair can be found on you head, which makes it different from nail",Yes
11141,"glass is a fragile, which makes it different from wood",Yes
8407,"tank can used in war, which makes it different from wheel",Yes
8811,"kettle have (a) electrical parts, which makes it different from sink",Yes
656,"thigh can be found bottom half of body, which makes it different from neck",Yes
6369,"arm is part of (a) upper body, which makes it different from foot",Yes
3264,"vulture is a bird of prey, which makes it different from pigeon",Yes
13937,"kettle is consuming electricity, which makes it different from spoon",Yes
5728,"wasp is typically able to fly, which makes it different from beetle",Yes
9947,"knees is a joint, which makes it different from arm",Yes
13563,"buffalo have (a) horn or antler, which makes it different from zebra",Yes
1144,"cheetah is a type of big cat, which makes it different from deer",Yes
3337,"grenade is a vessel, which makes it different from pistol",No
2559,"rabbit is a teeth, which makes it different from dog",No
12,"goat is smaller than a desk, which makes it different from sheep",No
3234,"chapel is a public building (typically), which makes it different from cottage",Yes
11310,"boat have (a) an engine, which makes it different from canoe",Yes
5231,"raspberry can be eaten in one bite, which makes it different from pear",Yes
13896,"chicken is a meat or animal, which makes it different from onions",Yes
7968,"cherry have (a) stone inside, which makes it different from banana",Yes
7483,"leg is part of (a) lower body, which makes it different from hand",Yes
6519,"falcon have (a) large wing span, which makes it different from sparrow",Yes
1709,"crayon can be used for writing/drawing, which makes it different from brush",No
3136,"gown can be found on your upper torso, which makes it different from trousers",Yes
13259,"elk can be used for travel, which makes it different from cougar",Not Sure
1491,"lobster have (a) legs, which makes it different from asparagus",Yes
11999,"squid is a mollusk, which makes it different from mackerel",Yes
11204,"brush can be used for drawing, which makes it different from pencil",No
6997,"mixer can be used for music related entertainment, which makes it different from faucet",Yes
12297,"cow can be domesticated, which makes it different from deer",Yes
10305,"crab have (a) shell, which makes it different from tuna",Yes
11222,"leopard is a type of big cat, which makes it different from buffalo",Yes
1893,"tank have (a) caterpillar treads, which makes it different from rifle",Yes
5989,"flute have (a) reed to make it work, which makes it different from harmonica",Yes
7234,"shoes can be found on lower body, which makes it different from dress",Yes
8812,"gown can be used for covering legs, which makes it different from shoes",Yes
1299,"grapefruit can be used for smoothies, which makes it different from avocado",Yes
11105,"gorilla is a predator, which makes it different from camel",Yes
10646,"sink can hold water, which makes it different from cupboard",Yes
10689,"blouse can be found on your upper torso, which makes it different from trousers",Yes
7393,"caribou have (a) antlers/tusks, which makes it different from bison",Yes
6320,"seagull is a predator, which makes it different from falcon",Not Sure
1044,"accordion can be held in hand, which makes it different from piano",Yes
12666,"screwdriver is a construction tool, which makes it different from brush",Yes
8996,"stereo can consume electricity, which makes it different from plug",Yes
8403,"squid have (a) legs, which makes it different from cod",Yes
12563,"elephant have (a) horn, which makes it different from hyena",Yes
5567,"avocado have (a) single hard pit, which makes it different from grapefruit",Yes
1065,"beaver can live in water, which makes it different from squirrel",Yes
6770,"skunk have (a) hair/fur, which makes it different from rattlesnake",Yes
2028,"caribou can be used for travel, which makes it different from cougar",Not Sure
3722,"fridge is made of steel mostly, which makes it different from kettle",No
10232,"man is a car, which makes it different from girl",No
11837,"boy have (a) the color brown in it, which makes it different from woman",No
7050,"actress is a profession, which makes it different from girlfriend",Yes
1933,"dishwasher is electrically powered, which makes it different from sink",Yes
9406,"gate is a 4 letter word, which makes it different from church",Yes
9537,"raspberry can rhyme with ferry, which makes it different from plum",Yes
7520,"saxophone can be blown into, which makes it different from piano",Yes
4754,"son is a family member, which makes it different from prince",Yes
10000,"walls can be found at ground level, which makes it different from tower",Not Sure
14826,"sugar is made of cup, which makes it different from butter",No
7966,"jeans can be used for covering legs, which makes it different from dress",No
8650,"tiger is a carnivore, which makes it different from horse",Yes
6212,"grapefruit have (a) usually inedible skin, which makes it different from pear",Not Sure
1915,"screws can be used for shooting, which makes it different from barrel",Yes
4192,"blender is a appliance, which makes it different from colander",Yes
13685,"crocodile is a teeth, which makes it different from goat",No
9517,"cod have (a) red shell when cooked, which makes it different from shrimp",Yes
10064,"gown is worn by woman (usually), which makes it different from jacket",Not Sure
2120,"dog is fluffy, which makes it different from cow",Yes
12717,"ant is part of (a) water, which makes it different from worm",No
4928,"lobster is a water animal, which makes it different from asparagus",Yes
13995,"gown have (a) sleeves, which makes it different from trousers",Yes
14167,"meat is a colour red, which makes it different from potatoes",Yes
