reference_id,candidate_id,reference_statement,candidate_statement,overlap
2,14598,bison and elephant can be discriminated with herds,"bison have (a) horn, which makes it different from elephant",No
2,9152,bison and elephant can be discriminated with herds,"bison have (a) fur, which makes it different from elephant",No
2,12392,bison and elephant can be discriminated with herds,"bison have (a) short/thick fur, which makes it different from elephant",No
2,3740,bison and elephant can be discriminated with herds,"bison have (a)  mane (hair on it), which makes it different from elephant",No
2,1566,bison and elephant can be discriminated with herds,"bison have (a) hooves, which makes it different from elephant",No
2,10996,bison and elephant can be discriminated with herds,"bison is fluffy, which makes it different from elephant",No
767,737,pants and jacket can be discriminated with materials,"pants can keep legs warm, which makes it different from jacket",No
767,14944,pants and jacket can be discriminated with materials,"pants can be found on lower body, which makes it different from jacket",No
767,2675,pants and jacket can be discriminated with materials,"pants is worn below the waist, which makes it different from jacket",No
767,8103,pants and jacket can be discriminated with materials,"pants is part of (a) pair, which makes it different from jacket",No
767,9710,pants and jacket can be discriminated with materials,"pants is a worn on the lower body, which makes it different from jacket",No
767,1437,pants and jacket can be discriminated with materials,"pants can be used for covering legs, which makes it different from jacket",No
767,8437,pants and jacket can be discriminated with materials,"pants can keep 2 legs covered, which makes it different from jacket",No
767,3624,pants and jacket can be discriminated with materials,"pants is part of (a) lower waistline, which makes it different from jacket",No
3,737,pants and jacket can be discriminated with loops,"pants can keep legs warm, which makes it different from jacket",No
3,14944,pants and jacket can be discriminated with loops,"pants can be found on lower body, which makes it different from jacket",No
3,2675,pants and jacket can be discriminated with loops,"pants is worn below the waist, which makes it different from jacket",No
3,8103,pants and jacket can be discriminated with loops,"pants is part of (a) pair, which makes it different from jacket",No
3,9710,pants and jacket can be discriminated with loops,"pants is a worn on the lower body, which makes it different from jacket",No
3,1437,pants and jacket can be discriminated with loops,"pants can be used for covering legs, which makes it different from jacket",No
3,8437,pants and jacket can be discriminated with loops,"pants can keep 2 legs covered, which makes it different from jacket",No
3,3624,pants and jacket can be discriminated with loops,"pants is part of (a) lower waistline, which makes it different from jacket",No
2490,8066,blouse and dress can be discriminated with collar,"blouse have (a) sleeves, which makes it different from dress",No
2350,8271,lamp and mirror can be discriminated with electrical,"lamp can be used for lighting, which makes it different from mirror",No
2350,3648,lamp and mirror can be discriminated with electrical,"lamp can generate light, which makes it different from mirror",No
2350,15008,lamp and mirror can be discriminated with electrical,"lamp can be used for a light source, which makes it different from mirror",No
2350,11494,lamp and mirror can be discriminated with electrical,"lamp is makes light, which makes it different from mirror",No
2350,236,lamp and mirror can be discriminated with electrical,"lamp can be used for providing light, which makes it different from mirror",No
2350,15234,lamp and mirror can be discriminated with electrical,"lamp can give off light/glow, which makes it different from mirror",No
1960,8271,lamp and mirror can be discriminated with lightbulbs,"lamp can be used for lighting, which makes it different from mirror",Yes
1960,3648,lamp and mirror can be discriminated with lightbulbs,"lamp can generate light, which makes it different from mirror",Yes
1960,15008,lamp and mirror can be discriminated with lightbulbs,"lamp can be used for a light source, which makes it different from mirror",Yes
1960,11494,lamp and mirror can be discriminated with lightbulbs,"lamp is makes light, which makes it different from mirror",Yes
1960,236,lamp and mirror can be discriminated with lightbulbs,"lamp can be used for providing light, which makes it different from mirror",Yes
1960,15234,lamp and mirror can be discriminated with lightbulbs,"lamp can give off light/glow, which makes it different from mirror",Yes
8,4917,rabbit and squirrel can be discriminated with hops,"rabbit can eat palm nuts, which makes it different from squirrel",No
8,11338,rabbit and squirrel can be discriminated with hops,"rabbit is a common pet, which makes it different from squirrel",No
8,8110,rabbit and squirrel can be discriminated with hops,"rabbit is part of (a) jumping, which makes it different from squirrel",Yes
8,3959,rabbit and squirrel can be discriminated with hops,"rabbit have (a) long ears, which makes it different from squirrel",No
8,13041,rabbit and squirrel can be discriminated with hops,"rabbit is a animal with long ears, which makes it different from squirrel",No
8,10074,rabbit and squirrel can be discriminated with hops,"rabbit have (a) long ear, which makes it different from squirrel",No
8,15427,rabbit and squirrel can be discriminated with hops,"rabbit can be found underground, which makes it different from squirrel",No
1472,4917,rabbit and squirrel can be discriminated with ears,"rabbit can eat palm nuts, which makes it different from squirrel",No
1472,11338,rabbit and squirrel can be discriminated with ears,"rabbit is a common pet, which makes it different from squirrel",No
1472,8110,rabbit and squirrel can be discriminated with ears,"rabbit is part of (a) jumping, which makes it different from squirrel",No
1472,3959,rabbit and squirrel can be discriminated with ears,"rabbit have (a) long ears, which makes it different from squirrel",Yes
1472,13041,rabbit and squirrel can be discriminated with ears,"rabbit is a animal with long ears, which makes it different from squirrel",Yes
1472,10074,rabbit and squirrel can be discriminated with ears,"rabbit have (a) long ear, which makes it different from squirrel",Yes
1472,15427,rabbit and squirrel can be discriminated with ears,"rabbit can be found underground, which makes it different from squirrel",No
1957,14569,fridge and stove can be discriminated with freezer,"fridge can be used for storing food, which makes it different from stove",No
3892,14569,fridge and stove can be discriminated with drawers,"fridge can be used for storing food, which makes it different from stove",No
86,14569,fridge and stove can be discriminated with rectangular,"fridge can be used for storing food, which makes it different from stove",No
3610,12234,onions and tomato can be discriminated with bulbs,"onions is a vegetable, which makes it different from tomato",No
14,5404,elephant and camel can be discriminated with trunk,"elephant have (a) horn, which makes it different from camel",No
14,5960,elephant and camel can be discriminated with trunk,"elephant have (a) horns, which makes it different from camel",No
14,3493,elephant and camel can be discriminated with trunk,"elephant have (a) antlers/tusks, which makes it different from camel",No
14,12638,elephant and camel can be discriminated with trunk,"elephant have (a) antlers or tusks, which makes it different from camel",No
14,2658,elephant and camel can be discriminated with trunk,"elephant is a has horns, which makes it different from camel",No
14,8273,elephant and camel can be discriminated with trunk,"elephant is a violent creature, which makes it different from camel",No
14,14112,elephant and camel can be discriminated with trunk,"elephant have (a) horn or antler, which makes it different from camel",No
14,11533,elephant and camel can be discriminated with trunk,"elephant have (a) trunk, which makes it different from camel",Yes
14,7111,elephant and camel can be discriminated with trunk,"elephant have (a) thick body, which makes it different from camel",No
15,9221,elephant and zebra can be discriminated with ears,"elephant have (a) antlers/tusks, which makes it different from zebra",No
15,4967,elephant and zebra can be discriminated with ears,"elephant have (a) antlers or tusks, which makes it different from zebra",No
15,8827,elephant and zebra can be discriminated with ears,"elephant is a has horns, which makes it different from zebra",No
15,10847,elephant and zebra can be discriminated with ears,"elephant have (a) horn or antler, which makes it different from zebra",No
15,5776,elephant and zebra can be discriminated with ears,"elephant have (a) trunk, which makes it different from zebra",No
16,6283,thermometer and tray can be discriminated with numbers,"thermometer can display information (time/temperature), which makes it different from tray",Yes
3514,13765,coat and socks can be discriminated with buttons,"coat can be found on your upper torso, which makes it different from socks",No
3514,3301,coat and socks can be discriminated with buttons,"coat have (a) sleeves, which makes it different from socks",No
3514,5993,coat and socks can be discriminated with buttons,"coat can be used for covering legs, which makes it different from socks",No
287,13765,coat and socks can be discriminated with sleeves,"coat can be found on your upper torso, which makes it different from socks",No
287,3301,coat and socks can be discriminated with sleeves,"coat have (a) sleeves, which makes it different from socks",Yes
287,5993,coat and socks can be discriminated with sleeves,"coat can be used for covering legs, which makes it different from socks",No
2544,5786,pants and shoes can be discriminated with cuffs,"pants is a piece of clothing, which makes it different from shoes",No
2544,6219,pants and shoes can be discriminated with cuffs,"pants can be found above the feet, which makes it different from shoes",No
2544,5773,pants and shoes can be discriminated with cuffs,"pants can be used for covering legs, which makes it different from shoes",No
2544,7568,pants and shoes can be discriminated with cuffs,"pants can keep 2 legs covered, which makes it different from shoes",No
2544,6443,pants and shoes can be discriminated with cuffs,"pants is covering the legs, which makes it different from shoes",No
1236,5786,pants and shoes can be discriminated with materials,"pants is a piece of clothing, which makes it different from shoes",Not Sure
1236,6219,pants and shoes can be discriminated with materials,"pants can be found above the feet, which makes it different from shoes",No
1236,5773,pants and shoes can be discriminated with materials,"pants can be used for covering legs, which makes it different from shoes",No
1236,7568,pants and shoes can be discriminated with materials,"pants can keep 2 legs covered, which makes it different from shoes",No
1236,6443,pants and shoes can be discriminated with materials,"pants is covering the legs, which makes it different from shoes",No
332,6002,trout and squid can be discriminated with scales,"trout is a fish, which makes it different from squid",Yes
332,12667,trout and squid can be discriminated with scales,"trout have (a) fins, which makes it different from squid",No
1995,6002,trout and squid can be discriminated with fins,"trout is a fish, which makes it different from squid",Yes
1995,12667,trout and squid can be discriminated with fins,"trout have (a) fins, which makes it different from squid",Yes
808,3628,cupboard and oven can be discriminated with handles,"cupboard can be found on a countertop, which makes it different from oven",No
3747,14181,cougar and caribou can be discriminated with claws,"cougar is a violent creature, which makes it different from caribou",Not Sure
3747,643,cougar and caribou can be discriminated with claws,"cougar is a type of big cat, which makes it different from caribou",Not Sure
3747,6534,cougar and caribou can be discriminated with claws,"cougar can be found in hot climates, which makes it different from caribou",No
3747,1153,cougar and caribou can be discriminated with claws,"cougar have (a) thick body, which makes it different from caribou",No
32,6877,walls and roof can be discriminated with window,"walls is part of (a) room, which makes it different from roof",No
32,13475,walls and roof can be discriminated with window,"walls is enclosed, which makes it different from roof",No
32,12612,walls and roof can be discriminated with window,"walls is part of (a) garage, which makes it different from roof",No
32,9772,walls and roof can be discriminated with window,"walls is part of (a) another card, which makes it different from roof",No
32,2968,walls and roof can be discriminated with window,"walls can be found inside of an apartment, which makes it different from roof",No
32,2890,walls and roof can be discriminated with window,"walls can be found at ground level, which makes it different from roof",No
32,1124,walls and roof can be discriminated with window,"walls is part of (a) a house, which makes it different from roof",No
2515,1266,plug and hose can be discriminated with prongs,"plug can be used for electronic uses, which makes it different from hose",No
2515,5409,plug and hose can be discriminated with prongs,"plug is a electronic device, which makes it different from hose",No
2515,14519,plug and hose can be discriminated with prongs,"plug is round shaped, which makes it different from hose",No
2515,8836,plug and hose can be discriminated with prongs,"plug is a electric, which makes it different from hose",No
2515,15109,plug and hose can be discriminated with prongs,"plug can be found at an electronics store, which makes it different from hose",No
1729,3140,shoes and jeans can be discriminated with suede,"shoes can be found on your feet, which makes it different from jeans",No
1729,8098,shoes and jeans can be discriminated with suede,"shoes can be found foot, which makes it different from jeans",No
1729,2299,shoes and jeans can be discriminated with suede,"shoes can be used for feet, which makes it different from jeans",No
1729,13027,shoes and jeans can be discriminated with suede,"shoes can be used for wearing on your feet, which makes it different from jeans",No
361,3140,shoes and jeans can be discriminated with heels,"shoes can be found on your feet, which makes it different from jeans",No
361,8098,shoes and jeans can be discriminated with heels,"shoes can be found foot, which makes it different from jeans",No
361,2299,shoes and jeans can be discriminated with heels,"shoes can be used for feet, which makes it different from jeans",No
361,13027,shoes and jeans can be discriminated with heels,"shoes can be used for wearing on your feet, which makes it different from jeans",No
41,5332,dress and pants can be discriminated with sleeves,"dress can be found on your upper torso, which makes it different from pants",No
41,3588,dress and pants can be discriminated with sleeves,"dress can be found upper part of body, which makes it different from pants",No
41,1783,dress and pants can be discriminated with sleeves,"dress is a typically female clothing item, which makes it different from pants",No
41,12487,dress and pants can be discriminated with sleeves,"dress have (a) sleeves, which makes it different from pants",Yes
41,4102,dress and pants can be discriminated with sleeves,"dress can be used for by mainly women, which makes it different from pants",No
42,11151,raft and sailboat can be discriminated with square,"raft is colored red, which makes it different from sailboat",No
42,5094,raft and sailboat can be discriminated with square,"raft can be used with paddles, which makes it different from sailboat",No
770,3464,shoes and socks can be discriminated with sizes,"shoes can be tied, which makes it different from socks",No
1194,3464,shoes and socks can be discriminated with soles,"shoes can be tied, which makes it different from socks",No
3508,7962,jeans and boots can be discriminated with buttons,"jeans is a piece of clothing, which makes it different from boots",Yes
