candidate_id,candidate_statement,correctness
8003,"rabbit can be found at the supermarket deli, which makes it different from dog",Yes
13328,"cat is fluffy, which makes it different from elephant",Yes
6943,"shoulder is a joint, which makes it different from foot",Yes
13201,"garlic is a purple vegetable, which makes it different from avocado",Yes
1233,"fingers is part of (a) upper body, which makes it different from foot",Yes
3893,"gorilla is a herbivore, which makes it different from crocodile",Yes
199,"broccoli is a green food, which makes it different from onions",Yes
6750,"elbow is a upper body part, which makes it different from ankle",Yes
10881,"lemon is a citrus fruit, which makes it different from pineapple",Yes
11975,"dishwasher is a larger than a child, which makes it different from kettle",Yes
8972,"scooter have (a) wheels, which makes it different from buggy",No
4088,"potatoes have (a) green label, which makes it different from butter",No
1216,"shrimp have (a) legs/tentacles, which makes it different from mackerel",Yes
1019,"oven is part of (a) kitchen appliance, which makes it different from sink",Yes
2140,"avocado is green, which makes it different from eggplant",Yes
10825,"kite can be found at a beach, which makes it different from vulture",Yes
13948,"toaster can be found on a countertop, which makes it different from dishwasher",Yes
12251,"salmon have (a) red shell when cooked, which makes it different from shrimp",Not Sure
12565,"seagull is usually mostly white colored, which makes it different from vulture",Yes
14756,"walls can be used for tiling, which makes it different from window",Yes
11806,"dress can be found upper part of body, which makes it different from skirt",Yes
10795,"rabbit can be held, which makes it different from mink",Yes
5606,"squirrel is furry, which makes it different from frog",Yes
7124,"orange have (a) seeds, which makes it different from olive",No
7535,"mug can be held to drink, which makes it different from kettle",Yes
9125,"bagpipe is a wind instrument, which makes it different from violin",Yes
8284,"turtle is a amphibian, which makes it different from squirrel",Yes
3750,"dishwasher is a appliance in the kitchen, which makes it different from toilet",Yes
5642,"shoes can be found foot, which makes it different from trousers",Yes
10633,"caribou is a herbivore, which makes it different from cougar",Yes
13366,"lemon have (a) usually inedible skin, which makes it different from cranberry",Yes
2980,"sister is part of (a) close blood relative, which makes it different from aunt",Yes
8060,"apartment is made of concrete, which makes it different from cabin",Not Sure
3972,"fan have (a) turning elements(knobs, wheels, etc.), which makes it different from rock",Yes
4863,"skunk is a fragile, which makes it different from mink",Not Sure
9809,"neck can be found upper body, which makes it different from ankle",Yes
6247,"jeans is part of (a) pair, which makes it different from dress",Yes
6722,"girl is a female (strictly), which makes it different from man",Yes
14146,"saxophone is a wind instrument, which makes it different from violin",Yes
14726,"skin is on a person's exterior, which makes it different from body",Yes
15382,"trumpet is a brass instrument, which makes it different from harmonica",Yes
8555,"cheetah is a like a cat, which makes it different from crocodile",Yes
8231,"spatula is made of /mostly made of metal, which makes it different from brush",Yes
964,"sheep can be domesticated, which makes it different from deer",Yes
7041,"mouth is a (one of five) human senses, which makes it different from throat",Yes
8570,"rabbit can be domesticated, which makes it different from elephant",Yes
4479,"crayon have (a) wax, which makes it different from pen",Yes
6387,"horse can be found on a farm, which makes it different from dog",Not Sure
2427,"corn is a vegetable, which makes it different from coconut",Yes
7400,"alligator is a predator, which makes it different from porcupine",Yes
11940,"toe is part of (a) lower body, which makes it different from finger",Yes
