reference_id,candidate_id,reference_statement,candidate_statement,overlap
3772,737,pants and jacket can be discriminated with seams,"pants can keep legs warm, which makes it different from jacket",No
3772,14944,pants and jacket can be discriminated with seams,"pants can be found on lower body, which makes it different from jacket",No
3772,2675,pants and jacket can be discriminated with seams,"pants is worn below the waist, which makes it different from jacket",No
3772,8103,pants and jacket can be discriminated with seams,"pants is part of (a) pair, which makes it different from jacket",Yes
3772,9710,pants and jacket can be discriminated with seams,"pants is a worn on the lower body, which makes it different from jacket",No
3772,1437,pants and jacket can be discriminated with seams,"pants can be used for covering legs, which makes it different from jacket",No
3772,8437,pants and jacket can be discriminated with seams,"pants can keep 2 legs covered, which makes it different from jacket",No
3772,3624,pants and jacket can be discriminated with seams,"pants is part of (a) lower waistline, which makes it different from jacket",No
767,737,pants and jacket can be discriminated with materials,"pants can keep legs warm, which makes it different from jacket",Yes
767,14944,pants and jacket can be discriminated with materials,"pants can be found on lower body, which makes it different from jacket",No
767,2675,pants and jacket can be discriminated with materials,"pants is worn below the waist, which makes it different from jacket",No
767,8103,pants and jacket can be discriminated with materials,"pants is part of (a) pair, which makes it different from jacket",No
767,9710,pants and jacket can be discriminated with materials,"pants is a worn on the lower body, which makes it different from jacket",No
767,1437,pants and jacket can be discriminated with materials,"pants can be used for covering legs, which makes it different from jacket",No
767,8437,pants and jacket can be discriminated with materials,"pants can keep 2 legs covered, which makes it different from jacket",No
767,3624,pants and jacket can be discriminated with materials,"pants is part of (a) lower waistline, which makes it different from jacket",No
3,737,pants and jacket can be discriminated with loops,"pants can keep legs warm, which makes it different from jacket",No
3,14944,pants and jacket can be discriminated with loops,"pants can be found on lower body, which makes it different from jacket",No
3,2675,pants and jacket can be discriminated with loops,"pants is worn below the waist, which makes it different from jacket",No
3,8103,pants and jacket can be discriminated with loops,"pants is part of (a) pair, which makes it different from jacket",Yes
3,9710,pants and jacket can be discriminated with loops,"pants is a worn on the lower body, which makes it different from jacket",No
3,1437,pants and jacket can be discriminated with loops,"pants can be used for covering legs, which makes it different from jacket",No
3,8437,pants and jacket can be discriminated with loops,"pants can keep 2 legs covered, which makes it different from jacket",Yes
3,3624,pants and jacket can be discriminated with loops,"pants is part of (a) lower waistline, which makes it different from jacket",No
1119,8271,lamp and mirror can be discriminated with switch,"lamp can be used for lighting, which makes it different from mirror",Yes
1119,3648,lamp and mirror can be discriminated with switch,"lamp can generate light, which makes it different from mirror",Yes
1119,15008,lamp and mirror can be discriminated with switch,"lamp can be used for a light source, which makes it different from mirror",Not Sure
1119,11494,lamp and mirror can be discriminated with switch,"lamp is makes light, which makes it different from mirror",No
1119,236,lamp and mirror can be discriminated with switch,"lamp can be used for providing light, which makes it different from mirror",No
1119,15234,lamp and mirror can be discriminated with switch,"lamp can give off light/glow, which makes it different from mirror",No
1960,8271,lamp and mirror can be discriminated with lightbulbs,"lamp can be used for lighting, which makes it different from mirror",Yes
1960,3648,lamp and mirror can be discriminated with lightbulbs,"lamp can generate light, which makes it different from mirror",Yes
1960,15008,lamp and mirror can be discriminated with lightbulbs,"lamp can be used for a light source, which makes it different from mirror",Yes
1960,11494,lamp and mirror can be discriminated with lightbulbs,"lamp is makes light, which makes it different from mirror",Yes
1960,236,lamp and mirror can be discriminated with lightbulbs,"lamp can be used for providing light, which makes it different from mirror",Yes
1960,15234,lamp and mirror can be discriminated with lightbulbs,"lamp can give off light/glow, which makes it different from mirror",Yes
8,4917,rabbit and squirrel can be discriminated with hops,"rabbit can eat palm nuts, which makes it different from squirrel",No
8,11338,rabbit and squirrel can be discriminated with hops,"rabbit is a common pet, which makes it different from squirrel",No
8,8110,rabbit and squirrel can be discriminated with hops,"rabbit is part of (a) jumping, which makes it different from squirrel",Yes
8,3959,rabbit and squirrel can be discriminated with hops,"rabbit have (a) long ears, which makes it different from squirrel",No
8,13041,rabbit and squirrel can be discriminated with hops,"rabbit is a animal with long ears, which makes it different from squirrel",No
8,10074,rabbit and squirrel can be discriminated with hops,"rabbit have (a) long ear, which makes it different from squirrel",No
8,15427,rabbit and squirrel can be discriminated with hops,"rabbit can be found underground, which makes it different from squirrel",No
1472,4917,rabbit and squirrel can be discriminated with ears,"rabbit can eat palm nuts, which makes it different from squirrel",No
1472,11338,rabbit and squirrel can be discriminated with ears,"rabbit is a common pet, which makes it different from squirrel",No
1472,8110,rabbit and squirrel can be discriminated with ears,"rabbit is part of (a) jumping, which makes it different from squirrel",No
1472,3959,rabbit and squirrel can be discriminated with ears,"rabbit have (a) long ears, which makes it different from squirrel",Yes
1472,13041,rabbit and squirrel can be discriminated with ears,"rabbit is a animal with long ears, which makes it different from squirrel",Yes
1472,10074,rabbit and squirrel can be discriminated with ears,"rabbit have (a) long ear, which makes it different from squirrel",Yes
1472,15427,rabbit and squirrel can be discriminated with ears,"rabbit can be found underground, which makes it different from squirrel",No
86,14569,fridge and stove can be discriminated with rectangular,"fridge can be used for storing food, which makes it different from stove",No
10,13714,leopard and cougar can be discriminated with spots,"leopard is a type of cat, which makes it different from cougar",Not Sure
10,15320,leopard and cougar can be discriminated with spots,"leopard is a predator, which makes it different from cougar",No
783,5404,elephant and camel can be discriminated with peanuts,"elephant have (a) horn, which makes it different from camel",No
783,5960,elephant and camel can be discriminated with peanuts,"elephant have (a) horns, which makes it different from camel",No
783,3493,elephant and camel can be discriminated with peanuts,"elephant have (a) antlers/tusks, which makes it different from camel",No
783,12638,elephant and camel can be discriminated with peanuts,"elephant have (a) antlers or tusks, which makes it different from camel",No
783,2658,elephant and camel can be discriminated with peanuts,"elephant is a has horns, which makes it different from camel",No
783,8273,elephant and camel can be discriminated with peanuts,"elephant is a violent creature, which makes it different from camel",No
783,14112,elephant and camel can be discriminated with peanuts,"elephant have (a) horn or antler, which makes it different from camel",No
783,11533,elephant and camel can be discriminated with peanuts,"elephant have (a) trunk, which makes it different from camel",No
783,7111,elephant and camel can be discriminated with peanuts,"elephant have (a) thick body, which makes it different from camel",No
15,9221,elephant and zebra can be discriminated with ears,"elephant have (a) antlers/tusks, which makes it different from zebra",Yes
15,4967,elephant and zebra can be discriminated with ears,"elephant have (a) antlers or tusks, which makes it different from zebra",Yes
15,8827,elephant and zebra can be discriminated with ears,"elephant is a has horns, which makes it different from zebra",No
15,10847,elephant and zebra can be discriminated with ears,"elephant have (a) horn or antler, which makes it different from zebra",Yes
15,5776,elephant and zebra can be discriminated with ears,"elephant have (a) trunk, which makes it different from zebra",No
3516,6283,thermometer and tray can be discriminated with mercury,"thermometer can display information (time/temperature), which makes it different from tray",No
18,13765,coat and socks can be discriminated with pockets,"coat can be found on your upper torso, which makes it different from socks",No
18,3301,coat and socks can be discriminated with pockets,"coat have (a) sleeves, which makes it different from socks",No
18,5993,coat and socks can be discriminated with pockets,"coat can be used for covering legs, which makes it different from socks",No
1433,13765,coat and socks can be discriminated with zipper,"coat can be found on your upper torso, which makes it different from socks",No
1433,3301,coat and socks can be discriminated with zipper,"coat have (a) sleeves, which makes it different from socks",No
1433,5993,coat and socks can be discriminated with zipper,"coat can be used for covering legs, which makes it different from socks",No
2544,5786,pants and shoes can be discriminated with cuffs,"pants is a piece of clothing, which makes it different from shoes",Yes
2544,6219,pants and shoes can be discriminated with cuffs,"pants can be found above the feet, which makes it different from shoes",Yes
