mushroom,onions,stem
cap,plate,logos
sandals,gloves,straps
closet,cupboard,bars
olive,onions,oval
vest,gown,fabrics
shoes,bag,suede
bear,goat,claws
pants,boots,loops
clam,asparagus,pearls
bomb,missile,timer
napkin,scarf,square
flute,saxophone,holes
giraffe,hyena,spots
bear,goat,paws
tray,pan,rectangular
avocado,potato,seeds
tricycle,buggy,pedals
screws,barrel,sizes
sailboat,yacht,mast
pants,shoes,buttons
snail,cockroach,slow
fork,wheel,prongs
chandelier,lamp,sparkly
skirt,dress,materials
wasp,spider,stinger
hawk,parakeet,claws
eel,tuna,electrical
elk,cougar,herds
skirt,trousers,materials
blender,parsley,electronic
sheep,dog,grass
rabbit,raccoon,ears
turtle,iguana,slow
vest,shirt,fabrics
corn,onions,husks
pepper,cucumber,pieces
jar,spoon,label
certificate,level,seal
iguana,tortoise,bugs
flute,accordion,thin
rabbit,chicken,carrots
missile,submarine,warheads
robe,gown,materials
belt,helmet,buckles
shoes,slippers,heels
whale,crocodile,blubber
camisole,robe,straps
swimsuit,blouse,materials
boots,socks,rubber
chicken,asparagus,pecks
toad,rattlesnake,warts
broccoli,parsley,stalks
jar,cheese,lid
rake,hoe,prongs
basement,brick,stairways
mackerel,squid,gills
tiger,dog,claws
shirt,skirt,sleeves
saucer,bucket,china
pants,dress,materials
panther,eagle,sleek
hawk,woodpecker,soars
pants,sweater,materials
necklace,scarf,gold
pen,stick,ink
bag,trousers,sizes
bike,skateboard,bars
giraffe,zebra,spots
surfboard,canoe,fins
trumpet,whistle,gold
corn,garlic,ears
beans,peas,pods
duck,tuna,bill
tent,curtains,zippers
gate,house,latch
hawk,vulture,mice
jacket,boots,hood
avocado,asparagus,pit
ant,squirrel,bites
skirt,jeans,pleats
cod,potato,gills
seal,hose,flippers
bike,jeep,bars
bagpipe,trumpet,bag
robe,cloak,materials
saucer,helicopter,porcelain
bed,sofa,headboard
ashtray,doorknob,holders
swimsuit,dress,materials
bear,elk,claws
tray,oven,square
wheel,tank,rolls
carpet,coat,colourful
ant,squirrel,antennae
belt,shirt,thin
balloon,rope,colourful
bow,dress,sizes
basement,apartment,furnace
gopher,rattlesnake,holes
mole,raccoon,holes
shoes,gown,suede
prune,cherry,wrinkled
barn,building,loft
porcupine,deer,quills
leopard,lion,spots
pants,jacket,zippers
grenade,bazooka,pin
bag,coat,sizes
mushroom,pepper,stem
toad,goat,insects
lantern,lamp,candle
falcon,pheasant,talons
camel,elk,beige
spear,shovel,thin
bagpipe,accordion,plaid
hose,rope,nozzle
tray,spoon,square
dog,pig,cats
closet,door,bars
toad,duck,flies
sink,stove,drain
crab,octopus,sideways
bra,shoes,wires
jeans,dress,buttons
turtle,buzzard,slowly
banner,shield,rectangular
jeans,dress,denim
oven,dishwasher,control
prune,plum,dried
sailboat,boat,mast
saxophone,harp,mouthpiece
pen,mouse,thin
beetle,butterfly,crawls
rat,squirrel,garbage
ring,wheel,diamonds
gate,wall,lock
prune,pineapple,purple
cod,spinach,fins
rabbit,cow,ears
jacket,cloak,sleeves
rattlesnake,alligator,slender
wagon,car,covering
helicopter,jet,blades
lemon,cheese,oval
camel,tiger,beige
blouse,trousers,silk
jeans,skirt,denim
gate,inn,hinges
pipe,tank,copper
screwdriver,bolts,heads
wheelbarrow,trolley,bin
saucer,tray,china
catfish,salmon,garbage
trousers,shoes,pockets
jeans,gown,buttons
rattlesnake,turtle,slender
cow,pony,grass
plate,dish,china
chicken,pepper,flies
coat,scarf,materials
caribou,cougar,herds
freezer,oven,rectangular
cloak,apron,hood
crab,squid,sideways
chicken,dish,flies
seal,turtle,flippers
necklace,pearl,gold
beans,avocado,pods
sink,bucket,drain
bracelet,buckle,clasp
prune,nectarine,wrinkled
pin,wheel,thin
screws,pipe,threads
chain,wheel,links
mushroom,lemon,stem
eagle,duck,bald
bike,truck,frame
pliers,screwdriver,handles
candle,basket,melts
bed,bedroom,mattress
plum,raisin,pit
frog,salamander,flies
dog,coat,cats
cockroach,spider,flies
boat,train,floats
boots,slippers,heels
dandelion,lettuce,seeds
faucet,mixer,chrome
lemon,lime,oval
salmon,asparagus,gills
pin,plate,thin
shirt,socks,pockets
honeydew,lettuce,rind
bra,blouse,cups
turtle,octopus,slow
blouse,pants,sleeves
screwdriver,knife,heads
lamp,stove,lightbulbs
trumpet,piano,valves
peach,tomato,pit
bison,ostrich,herds
raccoon,skunk,mask
rope,bag,thin
plate,dish,porcelain
rabbit,tomato,carrots
tank,barrel,tracks
rooster,rabbit,comb
orange,lime,sections
tiger,squirrel,claws
mackerel,lobster,fins
bison,camel,herds
flute,trumpet,thin
rattlesnake,gopher,scales
celery,spinach,stalks
bow,skirt,curved
plum,pepper,purple
cap,skirt,visor
duck,goose,bill
shirt,jeans,collar
cat,squirrel,paws
boots,dress,heels
tray,dish,square
alligator,camel,scales
boat,bike,floats
gun,cannon,trigger
camisole,robe,lace
mole,coyote,holes
jacket,skirt,sleeves
vulture,hawk,bald
eel,shrimp,electrical
camisole,gown,lacy
shoes,shirt,buckles
napkin,curtains,cloth
prune,grapefruit,pit
budgie,hamster,seeds
goldfish,hamster,scales
dandelion,garlic,seeds
broccoli,carrot,stalks
bat,duck,fangs
kettle,sink,spout
woodpecker,sparrow,insects
bat,toad,flies
bat,moth,fangs
wheelbarrow,truck,handles
jeans,boots,pockets
lime,peach,seeds
bed,bag,headboard
mittens,socks,thumb
hornet,jet,stings
bagpipe,harmonica,plaid
crab,salmon,sideways
turtle,rabbit,slow
olive,spinach,oval
bat,elephant,fangs
porcupine,beaver,slow
bookcase,dresser,shelves
wasp,beetle,stings
squirrel,mink,nuts
cucumber,cheese,seeds
necklace,chandelier,pearls
trumpet,harmonica,valves
camel,crocodile,spits
screws,drill,heads
pony,donkey,hay
desk,shelves,drawers
willow,cedar,down
eel,salmon,electrical
squid,lobster,ink
barn,cottage,loft
corn,pepper,kernels
belt,buckle,buckles
wall,door,drywall
bag,gloves,sizes
nylons,socks,thin
fan,rock,blades
salmon,eel,fins
trombone,harpsichord,gold
tie,skirt,knot
crocodile,cheetah,animals
rabbit,cow,carrots
bagpipe,trombone,plaid
caterpillar,jeep,crawls
cougar,buffalo,claws
crocodile,alligator,animals
cod,squid,fins
duck,onions,waddles
bracelet,buckle,gold
pants,socks,cuffs
helicopter,missile,flies
frog,cat,hops
trousers,coat,cuffs
bracelet,pearl,gold
shirt,gown,collar
porcupine,rabbit,quills
camel,calf,hump
ashtray,ladle,holders
calf,sheep,hoofs
cow,bison,grass
subway,train,crowded
olive,potato,oval
dresser,stool,drawers
trousers,scarf,cuffs
flea,cockroach,bites
radio,rock,dials
wagon,trolley,covering
shoes,shirt,soles
pan,tray,lid
canoe,sailboat,tips
bear,coyote,paws
crocodile,walrus,scales
scarf,coat,colourful
corn,cabbage,kernels
eggplant,parsley,seeds
skunk,mink,stripe
jar,garlic,label
chicken,pepper,pecks
cage,tray,wire
avocado,spinach,pit
slingshot,bazooka,part
cow,donkey,udder
mole,toad,burrows
pheasant,spinach,flies
skirt,sweater,lengths
cap,helmet,logos
eagle,raven,bald
corn,pepper,ears
eagle,duck,claws
jacket,boots,sleeves
robe,apron,materials
toad,hamster,hops
prune,cranberry,dried
bed,curtains,sizes
moose,ox,antlers
hawk,woodpecker,mice
blouse,robe,sleeves
tractor,wagon,slow
keyboard,drum,electrical
tank,rifle,guns
bread,tomato,crust
piano,harpsichord,pedals
cherry,pear,pit
sofa,curtains,cushions
bow,sword,string
cheetah,otter,spots
coat,shawl,sleeves
bungalow,apartment,basement
rabbit,bear,ears
sink,dishwasher,porcelain
cod,chicken,fins
prune,asparagus,purple
vulture,sparrow,talons
jacket,skirt,hood
dresser,bookcase,handles
coat,gloves,sleeves
football,cup,laces
apron,pants,cloth
orange,tomato,pulp
missile,gun,warheads
caribou,mink,antlers
coat,scarf,pockets
caribou,cougar,antlers
trailer,motorcycle,hitch
nectarine,banana,pit
plum,raspberry,pit
chapel,house,seats
tangerine,carrot,seeds
bow,bolts,string
apple,cherry,seeds
slingshot,tomahawk,part
corn,peas,ears
blender,avocado,electronic
shoes,gloves,buckles
candle,cigar,melts
thimble,necklace,dimples
catfish,lobster,gills
bike,tractor,frame
rabbit,mouse,ears
trousers,shoes,buttons
gloves,sweater,thumb
pants,blouse,loops
duck,cabbage,waddles
frog,tortoise,insects
screws,hose,heads
dishwasher,cupboard,electrical
zucchini,carrot,seeds
coat,blouse,hood
boots,bag,laces
cat,goat,mice
seagull,crow,manure
boots,slippers,soles
missile,tomahawk,warheads
chapel,bridge,seats
cedar,oak,needles
skirt,robe,pleats
avocado,lemon,pit
wasp,butterfly,stinger
pear,rhubarb,stem
ashtray,bucket,holders
dress,jeans,sleeves
alligator,elk,scales
broccoli,rhubarb,stalks
tent,toilet,zippers
crab,avocado,sideways
lemon,chicken,seeds
toad,turtle,insects
camisole,vest,silk
skirt,cloak,colourful
broccoli,pumpkin,stalks
shoes,jacket,sizes
carpet,cushion,colourful
mug,spoon,patterns
cougar,cheetah,animals
eggplant,cabbage,purple
bike,trolley,frame
robe,trousers,belt
chimp,donkey,bananas
tiger,elephant,claws
jacket,vest,hood
pencil,crayon,thin
skirt,vest,materials
napkin,shawl,cloth
clam,coconut,pearls
pants,vest,materials
giraffe,tiger,spots
bag,jacket,handles
train,car,caboose
trout,crab,scales
rattlesnake,beaver,slithers
rake,shovel,prongs
typewriter,paintbrush,numbers
typewriter,paintbrush,bell
rabbit,dog,ears
jacket,bag,pockets
dress,skirt,sleeves
avocado,carrot,pit
spider,cat,flies
cage,fence,lock
tie,scarf,patterns
jacket,shoes,pockets
dandelion,spinach,stem
onions,beans,bulbs
blouse,robe,silk
pencil,paintbrush,graphite
toad,rat,flies
gate,inn,lock
tent,cabin,poles
sandals,shoes,straps
frog,catfish,insects
camel,ostrich,hump
pear,banana,stem
bra,blouse,wires
donkey,sheep,ears
pot,garlic,sizes
shoes,slippers,buckles
jar,cheese,label
raft,sailboat,logs
shirt,jacket,collar
crayon,pen,wax
gate,chapel,hinges
ashtray,chandelier,holders
broom,birch,bristles
woodpecker,parakeet,insects
corn,avocado,stalks
unicycle,scooter,pedals
shoes,shirt,laces
jar,lemon,label
shoes,sandals,buckles
trout,shrimp,scales
shoes,gown,buckles
shirt,vest,pockets
shoes,trousers,buckles
robe,coat,belt
plum,cucumber,purple
grasshopper,owl,antennae
tomato,bread,seeds
cow,bison,manure
grape,cherry,seeds
bear,caribou,paws
helicopter,missile,hovers
saddle,cushion,stirrups
coat,scarf,hood
pants,vest,zippers
radio,magazine,antenna
sink,freezer,enamel
belt,screws,thin
pants,sweater,loops
cod,shrimp,gills
elk,sheep,herds
coat,dress,buttons
wasp,cockroach,stinger
dog,pony,chases
bowl,dish,curved
donkey,dog,ears
butterfly,bat,antennae
pin,plug,thin
gate,bridge,lock
mug,bucket,patterns
hawk,hornet,claws
stick,knife,thin
hawk,dove,claws
eel,crab,electrical
jacket,scarf,sleeves
olive,cheese,pit
prune,pear,dried
pelican,penguin,flies
mole,mouse,holes
eggplant,cauliflower,seeds
rat,pigeon,garbage
mink,otter,animals
pot,dish,sizes
faucet,tap,taps
jeans,trousers,denim
bed,door,springs
shotgun,grenade,trigger
gown,scarf,silk
mittens,pants,thumb
toad,rat,insects
elephant,cow,trunk
balloon,airplane,rubber
accordion,tuba,buttons
buzzard,kite,flies
apron,jacket,cloth
rattlesnake,turtle,rodents
tent,trailer,zippers
blouse,scarf,sleeves
eggplant,beans,purple
napkin,cushion,cloth
garlic,cheese,bulbs
seagull,falcon,garbage
bra,jacket,wires
seagull,eagle,manure
airplane,truck,propeller
lime,garlic,seeds
chimp,crocodile,bananas
shotgun,bullet,trigger
elk,porcupine,herds
jacket,gloves,hood
pigeon,crow,manure
stereo,tape,turntable
cod,squid,gills
apartment,cottage,bathroom
scissors,screwdriver,handles
dress,shoes,sleeves
minnow,trout,schools
radio,stereo,dials
tray,bowl,rectangular
bedroom,apartment,dresser
typewriter,paintbrush,letters
panther,gorilla,sleek
jacket,gown,buttons
skunk,cat,stripe
belt,jacket,buckles
fan,rocker,propeller
pumpkin,cauliflower,seeds
dishwasher,oven,buttons
spider,worm,flies
prune,cranberry,pit
mittens,scarf,thumb
sack,wheelbarrow,materials
bread,garlic,crust
helicopter,ship,blades
pants,dress,zippers
duck,chicken,waddles
jeans,sweater,fades
barn,brick,loft
kettle,bucket,electrical
cupboard,oven,handles
cabin,hut,logs
strawberry,rhubarb,seeds
robe,socks,cloth
prune,pear,purple
avocado,garlic,seeds
alligator,rat,scales
rope,hose,braided
razor,axe,electrical
pants,skirt,loops
bike,car,pedals
caribou,ox,antlers
walrus,dolphin,tusks
bolts,clamp,threads
barrel,screws,bands
eagle,goose,bald
minnow,eel,schools
raisin,banana,wrinkled
shoes,gloves,sizes
wheel,barrel,rolls
canoe,boat,fibreglass
screws,drill,threads
olive,avocado,pit
shoes,dress,soles
cherry,rhubarb,stem
bike,trolley,pedals
catfish,lobster,garbage
cedar,willow,needles
cushion,curtains,square
moth,frog,flies
stereo,mixer,speakers
sack,rope,burlap
elephant,cow,ears
chandelier,lantern,lightbulbs
corn,onions,kernels
seal,dolphin,flippers
honeydew,peach,seeds
rabbit,sheep,carrots
shoes,trousers,soles
avocado,potato,pit
necklace,dress,diamonds
cupboard,toilet,shelves
hawk,crow,mice
chain,boots,links
crocodile,buffalo,scales
falcon,dove,rodents
snail,wasp,slow
blouse,jeans,collar
screwdriver,brush,heads
pear,grapefruit,stem
dandelion,spinach,seeds
corn,cauliflower,cobs
faucet,mixer,taps
mole,raccoon,claws
skis,surfboard,bindings
plum,garlic,pit
bread,rice,crust
pear,garlic,stem
rattlesnake,alligator,rodents
alligator,lobster,scales
sink,fridge,drain
tent,bed,zippers
spider,beetle,webs
jacket,sweater,hood
freezer,sink,rectangular
celery,rhubarb,stalks
swimsuit,gown,materials
shirt,pants,collar
prune,avocado,purple
walrus,giraffe,tusks
crab,peas,sideways
duck,pigeon,waddles
elephant,squirrel,tusks
groundhog,raccoon,burrows
onions,pepper,layers
dog,pig,chases
sweater,trousers,sleeves
cucumber,parsley,seeds
mug,kettle,patterns
pan,pepper,coating
rabbit,pig,carrots
pot,garlic,lid
bagpipe,banjo,plaid
pencil,knife,eraser
elk,hyena,antlers
lamp,projector,switch
pepper,parsley,pieces
skirt,coat,pleats
whale,octopus,blubber
bow,skirt,sizes
basement,garage,foundation
faucet,tap,controls
coin,cigarette,sizes
coat,cloak,pockets
rabbit,goat,ears
hawk,woodpecker,rodents
socks,dress,holes
coat,dress,pockets
grenade,harpoon,pin
avocado,pepper,seeds
grasshopper,sparrow,antennae
robe,dress,cloth
cupboard,dresser,shelves
grasshopper,buzzard,antennae
cherry,strawberry,stem
saxophone,harpsichord,reeds
card,pin,colourful
bed,cottage,sizes
trumpet,harp,valves
boots,skirt,soles
cherry,apple,pit
camel,elk,hump
skirt,pants,lengths
rocket,tomato,flies
door,wall,rectangular
raft,jeep,rubber
bungalow,barn,levels
cupboard,bookcase,handles
dishwasher,kettle,buttons
tortoise,toad,slow
kettle,spoon,spout
hawk,sparrow,rodents
jeans,trousers,fades
piano,guitar,pedals
tiger,lion,claws
bat,mouse,fangs
rattlesnake,coyote,rodents
elephant,horse,tusks
limousine,truck,seats
rabbit,raccoon,carrots
orange,olive,seeds
cap,robe,logos
worm,shrimp,slithers
pumpkin,potato,seeds
saxophone,harpsichord,mouthpiece
wheelbarrow,shovel,handles
bed,cottage,mattress
missile,gun,flies
plum,walnut,purple
cougar,lion,claws
worm,flea,crawls
kettle,bucket,plug
swimsuit,gown,piece
pliers,tongs,handles
camel,gorilla,hump
plate,dish,patterns
mink,skunk,animals
cupboard,door,shelves
mink,coyote,mink
shirt,scarf,buttons
basement,cupboard,foundation
apple,spinach,seeds
corn,pineapple,kernels
comb,razor,thin
faucet,bathtub,chrome
rabbit,deer,hops
moose,raccoon,antlers
bed,pine,spring
accordion,keyboard,buttons
banner,umbrella,colourful
