candidate_id,candidate_statement,correctness
8232,"vulture have (a) large wingspan, which makes it different from pigeon",Yes
4678,"clarinet can be blown into, which makes it different from piano",Yes
6943,"shoulder is a joint, which makes it different from foot",Yes
7281,"bolts is made of metal/steel, which makes it different from hose",Yes
904,"wheel can be used in home, which makes it different from tank",Yes
13170,"fingers is part of (a) upper extremity(not including shoulders), which makes it different from neck",Yes
4887,"gown can be found over your knees, which makes it different from shirt",Yes
3613,"camel can be domesticated, which makes it different from tiger",Yes
11975,"dishwasher is a larger than a child, which makes it different from kettle",Not Sure
8972,"scooter have (a) wheels, which makes it different from buggy",No
6637,"scooter have (a) circular component, which makes it different from skateboard",Yes
1216,"shrimp have (a) legs/tentacles, which makes it different from mackerel",Yes
6784,"church can be used for religious gatherings, which makes it different from bridge",Yes
11452,"gate can be found at your home, which makes it different from inn",Yes
10825,"kite can be found at a beach, which makes it different from vulture",Not Sure
14775,"prune can be eaten in one bite, which makes it different from grapefruit",Yes
15326,"plum have (a) edible skin, which makes it different from banana",Yes
15305,"dress can be used for covering legs, which makes it different from shoes",Yes
14178,"mackerel is a fish, which makes it different from asparagus",Yes
11806,"dress can be found upper part of body, which makes it different from skirt",Yes
1934,"cousin have (a) blood relationship with you, which makes it different from wife",Yes
14515,"flute is part of (a) woodwind, which makes it different from trumpet",Yes
7188,"raspberry can be eaten in one bite, which makes it different from banana",Yes
7535,"mug can be held to drink, which makes it different from kettle",Yes
9125,"bagpipe is a wind instrument, which makes it different from violin",Yes
7336,"wrist is made of upper body parts, which makes it different from toe",Yes
11037,"hose can be wrapped around something, which makes it different from bolts",Yes
5642,"shoes can be found foot, which makes it different from trousers",Yes
9976,"tuna have (a) red shell when cooked, which makes it different from asparagus",Yes
11729,"girl can become pregnant, which makes it different from man",Yes
2980,"sister is part of (a) close blood relative, which makes it different from aunt",No
12680,"jeans can be found on lower body, which makes it different from gown",No
2891,"paintbrush is made of /mostly made of metal, which makes it different from crayon",No
4863,"skunk is a fragile, which makes it different from mink",Not Sure
14781,"sauce is a liquid, which makes it different from chocolate",Yes
7518,"rabbit have (a)  mane (hair on it), which makes it different from elephant",Yes
10432,"buggy can carry multiple people, which makes it different from skateboard",Yes
14146,"saxophone is a wind instrument, which makes it different from violin",Yes
10652,"trombone is a wind instrument, which makes it different from violin",Yes
9633,"caribou have (a) antlers, which makes it different from bison",Yes
8540,"shirt have (a) sleeves, which makes it different from shoes",Yes
8231,"spatula is made of /mostly made of metal, which makes it different from brush",Not Sure
11110,"skirt is worn below the waist, which makes it different from shirt",Yes
10837,"drill can be found in a toolbox, which makes it different from wheel",Yes
11833,"daughter can become pregnant, which makes it different from father",Yes
15294,"kettle is part of (a) kitchen appliance, which makes it different from cupboard",No
10111,"pony is smaller than a desk, which makes it different from donkey",Not Sure
2427,"corn is a vegetable, which makes it different from coconut",Yes
11940,"toe is part of (a) lower body, which makes it different from finger",Yes
8838,"gown is part of (a) lower waistline, which makes it different from jacket",No
10385,"spider is a insect, which makes it different from squirrel",Yes
6321,"mug is made of ceramic materials, which makes it different from bucket",Yes
4828,"vulture is a alive, which makes it different from falcon",No
10644,"princess is a picture of a female, which makes it different from mother",No
9422,"leg can be found on lower body, which makes it different from neck",Yes
463,"wrist can be found below where a watch is, which makes it different from shoulder",Yes
937,"neck is mostly of cylindrical shape, which makes it different from hand",Yes
3492,"knee is below the waist, which makes it different from arm",Yes
11650,"gorilla is a predator, which makes it different from elephant",Yes
2552,"snail is a insect, which makes it different from turtle",No
4057,"camel have (a) hooves, which makes it different from crocodile",Yes
13102,"father is a male, which makes it different from king",No
9870,"faucet is made of metal/steel, which makes it different from tap",No
1117,"ceiling can be found above your head in general, which makes it different from window",Yes
3985,"kettle is a electric powered item, which makes it different from spoon",Yes
2412,"father have (a) blood relationship with you, which makes it different from wife",Yes
10154,"crocodile is eat meat, which makes it different from frog",Yes
15004,"harpsichord is made of strings, which makes it different from trumpet",No
6142,"crab have (a) red shell when cooked, which makes it different from asparagus",Yes
15123,"chicken is a animal, which makes it different from tomato",Yes
5729,"pony is a teeth, which makes it different from horse",No
11147,"onions can be used for flavoring/condimenting dishes (usually), which makes it different from beans",Yes
1390,"arm is part of (a) upper extremity(not including shoulders), which makes it different from shoulder",Yes
11994,"shotgun can lifted by one hand, which makes it different from cannon",Yes
7043,"sheep is fluffy, which makes it different from deer",Yes
4949,"shoulder can be found in your upper body, which makes it different from leg",Yes
10041,"rabbit is four-legged, which makes it different from mouse",No
3786,"lemon have (a) usually inedible skin, which makes it different from strawberry",Yes
3209,"garlic is white, which makes it different from avocado",Yes
4379,"pear is a physical fruit or veg, which makes it different from coconut",Yes
1656,"kettle is made of metal, which makes it different from pot",No
8928,"goat is furry, which makes it different from potato",Yes
4635,"rabbit is part of (a) jumping, which makes it different from mouse",No
4294,"skin is a limb, which makes it different from nail",No
3868,"lobster have (a) shell, which makes it different from cod",Yes
14909,"sheep is a teeth, which makes it different from dog",No
636,"flute have (a) valves, which makes it different from trombone",No
7106,"hose is a mostly black in colour, which makes it different from plug",No
2690,"turtle is a amphibian, which makes it different from iguana",No
6472,"raccoon can be held, which makes it different from porcupine",Yes
11854,"crocodile is carnivorous, which makes it different from goat",Yes
10929,"chapel is a public building (typically), which makes it different from house",Not Sure
3586,"pencil can writing, which makes it different from brush",Yes
11781,"boat can be found on water, which makes it different from airplane",Yes
8192,"cottage have (a) own altar, which makes it different from church",No
14504,"alligator is living in water, which makes it different from raccoon",Yes
10514,"socks can be found on lower body, which makes it different from dress",No
2769,"tomato is a fruit, which makes it different from broccoli",Yes
490,"buggy have (a) an engine, which makes it different from skateboard",Yes
13207,"saucer is made of ceramic materials, which makes it different from bucket",Yes
444,"cupboard can be found on a countertop, which makes it different from closet",No
5196,"pants can be used for covering legs, which makes it different from blouse",No
14157,"frog can be kept inside a bedroom, which makes it different from goat",No
8464,"tank can use electricity, which makes it different from barrel",Yes
9390,"beetle is a crustecean, which makes it different from butterfly",Yes
6068,"buggy is made of metal, which makes it different from skis",Yes
4947,"scissors have (a) sharp cutting edge, which makes it different from comb",Yes
13194,"cucumber is a fruit, which makes it different from pepper",Yes
10062,"plum is a word beginning with p, which makes it different from banana",Yes
4243,"avocado is green, which makes it different from tomato",Yes
7829,"rabbit is a meat or animal, which makes it different from potato",Yes
8836,"plug is a electric, which makes it different from hose",Not Sure
9958,"dishwasher is consuming electricity, which makes it different from sink",Yes
10991,"squirrel can climb trees, which makes it different from hare",Yes
12302,"mixer is a  kitchen appliance, which makes it different from stereo",Yes
10182,"cupboard can be found in the room you sleep, which makes it different from door",No
11096,"leg is part of (a) lower body, which makes it different from finger",Yes
9047,"cow can be domesticated, which makes it different from elephant",Yes
4099,"leopard is a like a cat, which makes it different from zebra",Yes
142,"cherry is red, which makes it different from pear",Yes
13813,"soup is a liquid, which makes it different from bean",Yes
14949,"cannon can be used for firing artillery, which makes it different from grenade",Yes
14802,"buffalo have (a) horn, which makes it different from zebra",Yes
9204,"pants can keep 2 legs covered, which makes it different from boots",Yes
11676,"frog is domesticable (usually), which makes it different from deer",Not Sure
4093,"gun can be held in a hand, which makes it different from tank",Yes
4134,"arm can be used for a fight, which makes it different from shoulder",Yes
7562,"hawk is a predator, which makes it different from duck",Yes
673,"cherry is a red  or orang, which makes it different from lemon",Yes
8093,"tank is a weapon, which makes it different from barrel",Yes
5904,"bedroom have (a) start with a b, which makes it different from apartment",Yes
7351,"bridge have (a)  place for worship, which makes it different from inn",No
592,"leg is lower body, which makes it different from neck",Yes
3798,"tomato is a fruit, which makes it different from beans",Yes
14851,"actress is two syllables, which makes it different from wife",Yes
13233,"boots can keep legs warm, which makes it different from dress",Not Sure
8754,"giraffe is a herbivore, which makes it different from hyena",Yes
5264,"finger have (a) nails, which makes it different from arm",Yes
1910,"lemon is yellow, which makes it different from grapefruit",No
10028,"flute is a wind instrument, which makes it different from piano",Yes
1489,"brush can be used for grooming, which makes it different from stick",Yes
1099,"eagle have (a) large wingspan, which makes it different from buzzard",No
6433,"kettle is made of metal, which makes it different from bucket",Not Sure
9893,"beans can be used for meat replacement, which makes it different from broccoli",No
8924,"saxophone have (a) valves, which makes it different from piano",Yes
5992,"shoes can be used for wearing on your feet, which makes it different from jacket",Yes
6011,"elephant can be used for human transport, which makes it different from dog",Yes
12977,"house is a place to live permanently, which makes it different from inn",Yes
7868,"lemon is a citrus fruit, which makes it different from garlic",Yes
6267,"plug have (a) a type of metal, which makes it different from stereo",No
13711,"butter is a liquid, which makes it different from sugar",No
13029,"catfish have (a) name beginning with c, which makes it different from eel",Yes
12586,"camel is domesticable (usually), which makes it different from crocodile",Yes
5695,"turtle can be found in the water, which makes it different from snail",Yes
3746,"squirrel can be held, which makes it different from mink",No
1817,"tuba is a brass instrument, which makes it different from flute",No
14454,"mother is a direct relation, which makes it different from princess",Yes
14128,"tomato have (a) seeds, which makes it different from coconut",Yes
14807,"helicopter have (a) the ability to fly, which makes it different from boat",Yes
8587,"oven can be plugged in, which makes it different from cupboard",Yes
3762,"jeep have (a) an engine, which makes it different from canoe",Yes
44,"strawberry is a red  or orang, which makes it different from cranberry",No
4812,"tuba is a wind instrument, which makes it different from harpsichord",Yes
5869,"ankle can be used for walking, which makes it different from elbow",Yes
13122,"cucumber is a fruit, which makes it different from celery",Yes
6691,"scooter is made of metal, which makes it different from skateboard",Yes
6225,"tiger is carnivorous, which makes it different from bison",Yes
650,"donkey is fluffy, which makes it different from cow",No
6201,"truck have (a) more than two wheels, which makes it different from scooter",Yes
13559,"grapefruit is a member of the citrus family, which makes it different from pear",Yes
13905,"truck can be used for land suitable one, which makes it different from boat",Yes
9947,"knees is a joint, which makes it different from arm",Yes
2170,"banjo have (a) strings, which makes it different from trumpet",Yes
8168,"truck have (a) engine, which makes it different from scooter",No
4973,"deer have (a) hooves, which makes it different from beaver",Yes
13430,"scarf is worn on the neck, which makes it different from pants",Yes
15285,"camel can be used for riding, which makes it different from deer",Yes
3234,"chapel is a public building (typically), which makes it different from cottage",Yes
2000,"paintbrush can be used for painting, which makes it different from screwdriver",Yes
14082,"plum have (a) big seed, which makes it different from pear",Yes
13896,"chicken is a meat or animal, which makes it different from onions",Yes
4519,"dog can be kept inside a bedroom, which makes it different from goat",Yes
8686,"saxophone have (a) reed to make it work, which makes it different from trumpet",Yes
5993,"coat can be used for covering legs, which makes it different from socks",No
4342,"cherry have (a) single hard pit, which makes it different from pineapple",Yes
4785,"clarinet is made of strings, which makes it different from harp",No
3136,"gown can be found on your upper torso, which makes it different from trousers",Yes
5384,"microwave can be used for cooking food, which makes it different from dishwasher",Yes
1491,"lobster have (a) legs, which makes it different from asparagus",Yes
7919,"kettle can be plugged in, which makes it different from sink",Yes
6533,"daughter is a direct or immediate relation, which makes it different from cousin",Yes
12000,"snail is made of small animals, which makes it different from ant",No
584,"moth can flying, which makes it different from flea",Yes
13779,"bottle is made of metal, which makes it different from tray",No
14575,"cloak have (a) piece of clothing that opens, which makes it different from skirt",Yes
5140,"shotgun have (a) finger trigger, which makes it different from barrel",Yes
5989,"flute have (a) reed to make it work, which makes it different from harmonica",Yes
5309,"flea is part of (a) water, which makes it different from worm",No
5493,"pistol can shoot stuff out, which makes it different from barrel",Yes
1299,"grapefruit can be used for smoothies, which makes it different from avocado",No
10646,"sink can hold water, which makes it different from cupboard",Yes
10595,"bolts can commonly be found at home, which makes it different from wheel",Yes
14699,"turtle is four-legged, which makes it different from snail",Yes
3604,"hose have (a) string or line, which makes it different from plug",No
2654,"trumpet can usually be played  with mouth, which makes it different from harp",Yes
1044,"accordion can be held in hand, which makes it different from piano",Yes
12617,"catfish have (a) name beginning with c, which makes it different from mackerel",Yes
15314,"orange have (a) seeds, which makes it different from cherry",No
12928,"eggplant can be used for meat replacement, which makes it different from garlic",Yes
1823,"eagle have (a) large wing span, which makes it different from stork",No
5672,"raspberry is a red  or orang, which makes it different from coconut",Yes
253,"plum have (a) big seed, which makes it different from raspberry",Yes
9996,"blender can be used for making food, which makes it different from fridge",Yes
6770,"skunk have (a) hair/fur, which makes it different from rattlesnake",Yes
5054,"orange is a red  or orang, which makes it different from plum",Yes
3722,"fridge is made of steel mostly, which makes it different from kettle",Not Sure
2025,"jeans can be used for covering legs, which makes it different from boots",Yes
11837,"boy have (a) the color brown in it, which makes it different from woman",Yes
8591,"soup is a liquid, which makes it different from sandwich",Yes
1074,"toe have (a) nail, which makes it different from foot",Yes
12921,"salad have (a) vegetable(s), which makes it different from bacon",Yes
9537,"raspberry can rhyme with ferry, which makes it different from plum",Yes
7520,"saxophone can be blown into, which makes it different from piano",Yes
2786,"scissors can be used for crafts, which makes it different from pliers",Yes
10000,"walls can be found at ground level, which makes it different from tower",No
10648,"accordion can be held, which makes it different from piano",Yes
12826,"lime is a fruit, which makes it different from onions",Yes
8650,"tiger is a carnivore, which makes it different from horse",Yes
11641,"pen can be found construction site, which makes it different from stick",No
9555,"perch is a fish, which makes it different from eel",No
12909,"leg can be used for walking, which makes it different from elbow",Yes
6530,"butter is a diary food, which makes it different from sugar",Yes
9517,"cod have (a) red shell when cooked, which makes it different from shrimp",No
10064,"gown is worn by woman (usually), which makes it different from jacket",Yes
8016,"knees is below the waist, which makes it different from elbow",Yes
13865,"saxophone can be held in hand, which makes it different from harpsichord",Yes
9242,"cod is a fish, which makes it different from crab",Yes
14167,"meat is a colour red, which makes it different from potatoes",Yes
3781,"pants can be found on lower body, which makes it different from coat",Yes
8287,"trout is a fish, which makes it different from shrimp",Yes
1110,"fan can be used for electronic uses, which makes it different from rocker",Yes
12278,"shoes can be found on lower body, which makes it different from jacket",Yes
4094,"knee can be found below the waist, which makes it different from elbow",Yes
12068,"onions is a n ingredient for sauce, which makes it different from potato",Yes
