mushroom,onions
cap,plate
sandals,gloves
closet,cupboard
olive,onions
vest,gown
shoes,bag
bear,goat
pants,boots
clam,asparagus
bomb,missile
napkin,scarf
flute,saxophone
giraffe,hyena
bear,goat
tray,pan
avocado,potato
tricycle,buggy
screws,barrel
sailboat,yacht
pants,shoes
snail,cockroach
fork,wheel
chandelier,lamp
skirt,dress
wasp,spider
hawk,parakeet
eel,tuna
elk,cougar
skirt,trousers
blender,parsley
sheep,dog
rabbit,raccoon
turtle,iguana
vest,shirt
corn,onions
pepper,cucumber
jar,spoon
certificate,level
iguana,tortoise
flute,accordion
rabbit,chicken
missile,submarine
robe,gown
belt,helmet
shoes,slippers
whale,crocodile
camisole,robe
swimsuit,blouse
boots,socks
chicken,asparagus
toad,rattlesnake
broccoli,parsley
jar,cheese
rake,hoe
basement,brick
mackerel,squid
tiger,dog
shirt,skirt
saucer,bucket
pants,dress
panther,eagle
hawk,woodpecker
pants,sweater
necklace,scarf
pen,stick
bag,trousers
bike,skateboard
giraffe,zebra
surfboard,canoe
trumpet,whistle
corn,garlic
beans,peas
duck,tuna
tent,curtains
gate,house
hawk,vulture
jacket,boots
avocado,asparagus
ant,squirrel
skirt,jeans
cod,potato
seal,hose
bike,jeep
bagpipe,trumpet
robe,cloak
saucer,helicopter
bed,sofa
ashtray,doorknob
swimsuit,dress
bear,elk
tray,oven
wheel,tank
carpet,coat
ant,squirrel
belt,shirt
balloon,rope
bow,dress
basement,apartment
gopher,rattlesnake
mole,raccoon
shoes,gown
prune,cherry
barn,building
porcupine,deer
leopard,lion
pants,jacket
grenade,bazooka
bag,coat
mushroom,pepper
toad,goat
lantern,lamp
falcon,pheasant
camel,elk
spear,shovel
bagpipe,accordion
hose,rope
tray,spoon
dog,pig
closet,door
toad,duck
sink,stove
crab,octopus
bra,shoes
jeans,dress
turtle,buzzard
banner,shield
jeans,dress
oven,dishwasher
prune,plum
sailboat,boat
saxophone,harp
pen,mouse
beetle,butterfly
rat,squirrel
ring,wheel
gate,wall
prune,pineapple
cod,spinach
rabbit,cow
jacket,cloak
rattlesnake,alligator
wagon,car
helicopter,jet
lemon,cheese
camel,tiger
blouse,trousers
jeans,skirt
gate,inn
pipe,tank
screwdriver,bolts
wheelbarrow,trolley
saucer,tray
catfish,salmon
trousers,shoes
jeans,gown
rattlesnake,turtle
cow,pony
plate,dish
chicken,pepper
coat,scarf
caribou,cougar
freezer,oven
cloak,apron
crab,squid
chicken,dish
seal,turtle
necklace,pearl
beans,avocado
sink,bucket
bracelet,buckle
prune,nectarine
pin,wheel
screws,pipe
chain,wheel
mushroom,lemon
eagle,duck
bike,truck
pliers,screwdriver
candle,basket
bed,bedroom
plum,raisin
frog,salamander
dog,coat
cockroach,spider
boat,train
boots,slippers
dandelion,lettuce
faucet,mixer
lemon,lime
salmon,asparagus
pin,plate
shirt,socks
honeydew,lettuce
bra,blouse
turtle,octopus
blouse,pants
screwdriver,knife
lamp,stove
trumpet,piano
peach,tomato
bison,ostrich
raccoon,skunk
rope,bag
plate,dish
rabbit,tomato
tank,barrel
rooster,rabbit
orange,lime
tiger,squirrel
mackerel,lobster
bison,camel
flute,trumpet
rattlesnake,gopher
celery,spinach
bow,skirt
plum,pepper
cap,skirt
duck,goose
