candidate_id,candidate_statement,correctness
4875,"fridge is a electrical appliance, which makes it different from sink",Yes
8915,"crab have (a) legs, which makes it different from salmon",Yes
6943,"shoulder is a joint, which makes it different from foot",Yes
9720,"mackerel can be found in sea, which makes it different from eel",No
14717,"princess is a profession, which makes it different from aunt",Yes
12486,"jacket is a piece of clothing, which makes it different from bag",Yes
14438,"finger is something people have ten of, which makes it different from hand",Yes
11740,"bag is a an accessory, which makes it different from coat",Yes
5249,"flute can be played with mouth, which makes it different from guitar",Yes
11975,"dishwasher is a larger than a child, which makes it different from kettle",Yes
8972,"scooter have (a) wheels, which makes it different from buggy",No
3501,"garlic is a fruit, which makes it different from broccoli",No
1216,"shrimp have (a) legs/tentacles, which makes it different from mackerel",Yes
13898,"candle is made of /contain glass, which makes it different from cigarette",No
14870,"fingers can be found in your upper body, which makes it different from toe",Yes
10825,"kite can be found at a beach, which makes it different from vulture",Not Sure
14051,"camel is domesticable (usually), which makes it different from deer",Yes
8173,"daughter have (a) blood relationship with you, which makes it different from girl",Yes
14068,"pipe can be used for harm, which makes it different from tank",No
11806,"dress can be found upper part of body, which makes it different from skirt",Yes
8705,"octopus have (a) legs/tentacles, which makes it different from eel",Yes
4682,"cottage is a place to live permanently, which makes it different from barn",Yes
4155,"lobster have (a) legs, which makes it different from salmon",Yes
7535,"mug can be held to drink, which makes it different from kettle",Yes
9125,"bagpipe is a wind instrument, which makes it different from violin",Yes
11514,"microwave can be used for heating items up, which makes it different from fridge",Yes
10718,"ankle can be found below the waist, which makes it different from shoulder",Yes
5642,"shoes can be found foot, which makes it different from trousers",Yes
6537,"truck can be used for single person transport, which makes it different from wheel",Not Sure
15101,"lime is a citrus fruit, which makes it different from cherry",Yes
2980,"sister is part of (a) close blood relative, which makes it different from aunt",Not Sure
10139,"salmon have (a) fins, which makes it different from eel",Not Sure
1378,"steak is a meat, which makes it different from sandwich",Yes
4863,"skunk is a fragile, which makes it different from mink",Not Sure
10245,"cod have (a) name beginning with c, which makes it different from salmon",Yes
2638,"cherry is part of (a) group or bunch, which makes it different from plum",Yes
14146,"saxophone is a wind instrument, which makes it different from violin",Yes
7361,"broccoli is a green vegetable, which makes it different from garlic",Yes
9294,"plum have (a) stone, which makes it different from pear",Yes
8231,"spatula is made of /mostly made of metal, which makes it different from brush",Yes
8746,"candle can generate light, which makes it different from cigarette",Yes
15108,"onions is a vegetable, which makes it different from garlic",No
4403,"alligator can live in water, which makes it different from deer",Yes
10399,"ship can transport ships, which makes it different from boat",Not Sure
11104,"skis can be used for snow, which makes it different from bike",Yes
2427,"corn is a vegetable, which makes it different from coconut",Yes
10703,"squirrel can be found on  a tree, which makes it different from otter",Yes
11940,"toe is part of (a) lower body, which makes it different from finger",Yes
5731,"dog have (a) fur, which makes it different from horse",Yes
11230,"cheetah is a type of cat, which makes it different from gorilla",Yes
13003,"church is a religion buildings, which makes it different from cottage",Yes
4828,"vulture is a alive, which makes it different from falcon",No
2890,"walls can be found at ground level, which makes it different from roof",Yes
9422,"leg can be found on lower body, which makes it different from neck",Yes
2418,"hair can be found on your head, which makes it different from body",Yes
937,"neck is mostly of cylindrical shape, which makes it different from hand",Yes
11909,"paintbrush can writing, which makes it different from scissors",Yes
11650,"gorilla is a predator, which makes it different from elephant",Not Sure
2533,"alligator is a reptile, which makes it different from squirrel",Yes
2552,"snail is a insect, which makes it different from turtle",No
3025,"bison can be found in water, which makes it different from camel",Yes
9870,"faucet is made of metal/steel, which makes it different from tap",Not Sure
3985,"kettle is a electric powered item, which makes it different from spoon",Yes
10154,"crocodile is eat meat, which makes it different from frog",Yes
