reference_id,candidate_statement,valid,Remarks
0,willow and birch can be discriminated with down,Valid,"Down is ""fine fur"" as noun, it should be valid but hard to obtain"
2,bison and elephant can be discriminated with herds,Valid,"I think it's okay, some participants even use ""herd"" in the game."
767,pants and jacket can be discriminated with materials,Invalid,
3772,pants and jacket can be discriminated with seams,Invalid,"I think this is invalid, because in my sense both jacket and pants can have seams although not the same style "
5,blouse and dress can be discriminated with buttons,Invalid,
1199,blouse and dress can be discriminated with silk,Invalid,
2350,lamp and mirror can be discriminated with electrical,Valid,
1960,lamp and mirror can be discriminated with lightbulbs,Valid,
7,lamp and mirror can be discriminated with cord,Valid,
1472,rabbit and squirrel can be discriminated with ears,Valid,
9,fridge and stove can be discriminated with shelves,Valid,
86,fridge and stove can be discriminated with rectangular,Invalid,
10,leopard and cougar can be discriminated with spots,Valid,
3610,onions and tomato can be discriminated with bulbs,Valid,
13,lime and coconut can be discriminated with seeds,Valid,
684,elephant and camel can be discriminated with tusks,Valid,
783,elephant and camel can be discriminated with peanuts,Valid,
15,elephant and zebra can be discriminated with ears,Valid,
3310,elephant and zebra can be discriminated with trunk,Valid,
3516,thermometer and tray can be discriminated with mercury,Valid,
1433,coat and socks can be discriminated with zipper,Valid,
18,coat and socks can be discriminated with pockets,Valid,
3268,coat and socks can be discriminated with hood,Valid,
19,ant and beetle can be discriminated with bites,Valid,
20,bagpipe and tuba can be discriminated with plaid,Valid,
1707,pants and shoes can be discriminated with zippers,Invalid,"I think this is invalid, because in my sense both shoes and pants can have zippers although not the same style (pants may have longer zippers)"
21,pants and shoes can be discriminated with loops,Valid,
923,pants and shoes can be discriminated with pockets,Valid,
332,trout and squid can be discriminated with scales,Valid,
22,trout and squid can be discriminated with gills,Valid,
808,cupboard and oven can be discriminated with handles,Invalid,
3747,cougar and caribou can be discriminated with claws,Valid,
28,microwave and fridge can be discriminated with turntable,Valid,
31,moth and beetle can be discriminated with grey,Valid,
2169,rattlesnake and iguana can be discriminated with slender,Valid,
1867,rattlesnake and iguana can be discriminated with bites,Valid,
3671,rattlesnake and iguana can be discriminated with rodents,Valid,
2515,plug and hose can be discriminated with prongs,Valid,
2916,plug and hose can be discriminated with cord,Valid,
1976,orange and lemon can be discriminated with sections,Invalid,
361,shoes and jeans can be discriminated with heels,Valid,
39,shoes and jeans can be discriminated with sizes,Invalid,"emmm, it's confusing, it should be invalid"
1121,shoes and jeans can be discriminated with soles,Valid,
40,lime and garlic can be discriminated with seeds,Valid,
3144,raft and sailboat can be discriminated with rubber,Valid,
42,raft and sailboat can be discriminated with square,Invalid,
770,shoes and socks can be discriminated with sizes,Invalid,"emmm, it's confusing, it should be invalid"
680,shoes and socks can be discriminated with suede,Valid,
958,shoes and socks can be discriminated with laces,Valid,
47,orange and peach can be discriminated with pulp,Valid,
1732,orange and peach can be discriminated with sections,Valid,
1135,saxophone and harmonica can be discriminated with mouthpiece,Valid,"They did have difference, I think it's valid (although it may be too specific)"
3508,jeans and boots can be discriminated with buttons,Valid,
446,jeans and boots can be discriminated with zipper,Invalid,
49,jeans and boots can be discriminated with fades,Valid,
50,saucer and tray can be discriminated with porcelain,Invalid,
2830,saucer and tray can be discriminated with patterns,Invalid,
1407,saxophone and harpsichord can be discriminated with gold,Valid,
1127,saxophone and harpsichord can be discriminated with reeds,Valid,
56,tank and rifle can be discriminated with tracks,Valid,
1298,tank and rifle can be discriminated with guns,Valid,
58,squid and trout can be discriminated with ink,Valid,
61,tray and fridge can be discriminated with round,Invalid,
62,banana and raspberry can be discriminated with long,Valid,
63,wheel and tank can be discriminated with rubber,Valid,"I guess it's because wheel is made up of rubber in general, while metal for tank"
3043,wheel and tank can be discriminated with rims,Valid,
65,bike and skis can be discriminated with frame,Valid,
1155,bike and skis can be discriminated with gears,Valid,
66,deer and bison can be discriminated with antlers,Valid,
2253,pencil and crayon can be discriminated with graphite,Valid,
68,cherry and strawberry can be discriminated with pit,Valid,
70,beans and broccoli can be discriminated with brown,Invalid,"Does it mean beans can be brown, but broccoli can't in general"
72,tomato and celery can be discriminated with seeds,Valid,
1508,guitar and trumpet can be discriminated with wood,Valid,
74,arm and hand can be discriminated with sleeve,Invalid,
76,bed and toilet can be discriminated with sizes,Invalid,
3285,bed and toilet can be discriminated with headboard,Valid,
2188,bed and toilet can be discriminated with mattress,Valid,
387,butterfly and caterpillar can be discriminated with antennae,Valid,
2122,mackerel and crab can be discriminated with gills,Valid,
79,mackerel and crab can be discriminated with scales,Valid,
2512,camel and cow can be discriminated with hump,Valid,
80,camel and cow can be discriminated with beige,Valid,
81,vulture and sparrow can be discriminated with claws,Valid,"I think they have different styles of claws, so it may be valid"
82,eggplant and broccoli can be discriminated with seeds,Valid,
83,falcon and pelican can be discriminated with rodents,Invalid,
2651,mole and mink can be discriminated with holes,Valid,
2406,mole and mink can be discriminated with burrows,Valid,
85,groundhog and raccoon can be discriminated with burrows,Valid,
87,plug and stereo can be discriminated with wires,Valid,"I'm not sure what plug is in your sense, but in my sense plug doesn't have wires while stereo should have"
818,kite and eagle can be discriminated with string,Valid,
89,tuba and flute can be discriminated with gold,Invalid,
90,ship and helicopter can be discriminated with floats,Valid,
91,onions and garlic can be discriminated with layers,Invalid,
2706,spider and worm can be discriminated with insects,Valid,
339,hawk and buzzard can be discriminated with rodents,Valid,
2874,hawk and buzzard can be discriminated with mice,Valid,
96,cottage and barn can be discriminated with fireplace,Invalid,
3906,corn and avocado can be discriminated with stalks,Valid,
98,corn and avocado can be discriminated with ears,Valid,
2870,corn and avocado can be discriminated with husks,Valid,
1903,tray and bucket can be discriminated with square,Invalid,
102,screwdriver and scissors can be discriminated with heads,Valid,
2725,jacket and shirt can be discriminated with hood,Invalid,
2745,jacket and bag can be discriminated with zipper,Invalid,
2946,jacket and bag can be discriminated with sleeves,Valid,
1802,hawk and sparrow can be discriminated with rodents,Valid,
106,hawk and sparrow can be discriminated with mice,Valid,
107,colander and blender can be discriminated with holes,Valid,
3865,sink and fridge can be discriminated with drain,Valid,
109,lips and mouth can be discriminated with tight,Invalid,
2714,catfish and lobster can be discriminated with garbage,Invalid,
112,catfish and lobster can be discriminated with fins,Valid,
114,beaver and squirrel can be discriminated with swims,Valid,
116,camel and crocodile can be discriminated with humps,Valid,
2065,camel and crocodile can be discriminated with spits,Valid,
2223,prune and avocado can be discriminated with purple,Valid,
334,prune and avocado can be discriminated with wrinkled,Valid,
118,sink and toaster can be discriminated with enamel,Valid,
196,sink and toaster can be discriminated with porcelain,Valid,
121,barn and inn can be discriminated with stalls,Valid,
123,cupboard and freezer can be discriminated with shelves,Invalid,
124,mixer and stereo can be discriminated with bowls,Valid,
1756,tank and rocket can be discriminated with guns,Valid,
2982,tank and rocket can be discriminated with tracks,Valid,
1271,bed and carpet can be discriminated with springs,Valid,
126,bed and carpet can be discriminated with spring,Valid,
533,mixer and faucet can be discriminated with electrical,Valid,
3351,mixer and faucet can be discriminated with blades,Valid,
194,falcon and owl can be discriminated with rodents,Invalid,
130,trousers and boots can be discriminated with wool,Valid,
246,coat and skirt can be discriminated with zipper,Invalid,
3461,coat and skirt can be discriminated with sleeves,Valid,
1528,jeans and shirt can be discriminated with fades,Invalid,
132,jeans and shirt can be discriminated with zipper,Valid,
1115,cow and elephant can be discriminated with milk,Valid,
135,tent and hut can be discriminated with poles,Invalid,
137,parakeet and woodpecker can be discriminated with seeds,Invalid,
1032,pants and socks can be discriminated with buttons,Valid,
3323,pants and socks can be discriminated with materials,Valid,
303,pants and socks can be discriminated with seams,Valid,
3385,pants and socks can be discriminated with cuffs,Invalid,"I also think it's weird, can cuffs mean two holes (close to foot)"
140,daughter and girl can be discriminated with parents,Valid,
1460,lemon and coconut can be discriminated with sour,Valid,
143,frog and deer can be discriminated with insects,Valid,
854,bagpipe and banjo can be discriminated with bag,Valid,
145,hare and squirrel can be discriminated with carrots,Valid,
704,hare and squirrel can be discriminated with hops,Valid,
2003,orange and plum can be discriminated with pulp,Valid,
434,cougar and deer can be discriminated with animals,Invalid,
723,stereo and tape can be discriminated with electronic,Valid,
1564,stereo and tape can be discriminated with radio,Valid,
1036,stereo and tape can be discriminated with turntable,Valid,
1565,eggplant and onions can be discriminated with seeds,Valid,
150,actress and girl can be discriminated with act,Invalid,
151,camel and horse can be discriminated with hump,Valid,
2361,camel and horse can be discriminated with beige,Invalid,
2698,snail and rattlesnake can be discriminated with antennae,Valid,
507,spider and cat can be discriminated with flies,Valid,
815,spider and cat can be discriminated with crawls,Valid,
156,grenade and cannon can be discriminated with pin,Valid,
159,lobster and asparagus can be discriminated with claws,Valid,
2740,bag and trousers can be discriminated with handles,Valid,
161,cow and sheep can be discriminated with manure,Valid,
1187,elephant and gorilla can be discriminated with ears,Valid,
2876,elephant and gorilla can be discriminated with trunk,Valid,
166,meat and potatoes can be discriminated with protein,Valid,
167,scissors and spatula can be discriminated with blades,Valid,
1618,piano and guitar can be discriminated with ivory,Valid,
171,hut and tent can be discriminated with grass,Invalid,
3031,snail and cockroach can be discriminated with antennae,Invalid,
173,radio and microwave can be discriminated with dials,Valid,
3167,radio and microwave can be discriminated with antenna,Valid,
1814,elephant and goat can be discriminated with tusks,Valid,
2029,elephant and goat can be discriminated with trunk,Valid,
2161,prune and pear can be discriminated with purple,Valid,
175,prune and pear can be discriminated with pit,Valid,
2496,coat and dress can be discriminated with buttons,Invalid,
3938,coat and dress can be discriminated with materials,Invalid,
177,coat and dress can be discriminated with hood,Valid,
2564,mackerel and shrimp can be discriminated with fins,Valid,
179,leg and arm can be discriminated with long,Valid,
180,crab and tuna can be discriminated with claws,Valid,
185,airplane and helicopter can be discriminated with engines,Invalid,
2077,airplane and helicopter can be discriminated with crashes,Invalid,
186,mother and woman can be discriminated with son,Valid,
188,wheel and bike can be discriminated with spokes,Valid,
3221,wheel and bike can be discriminated with rolls,Invalid,
189,rabbit and cat can be discriminated with carrots,Valid,
2256,rabbit and cat can be discriminated with hops,Valid,
191,spatula and paintbrush can be discriminated with rubber,Valid,
192,stereo and mixer can be discriminated with radio,Valid,
2678,stereo and mixer can be discriminated with turntable,Invalid,
3030,crab and salmon can be discriminated with sideways,Valid,
1018,raccoon and coyote can be discriminated with garbage,Valid,
197,avocado and beans can be discriminated with seeds,Valid,
198,elephant and frog can be discriminated with grey,Valid,
3663,prune and raspberry can be discriminated with wrinkled,Valid,
2096,prune and raspberry can be discriminated with purple,Valid,
2696,banner and umbrella can be discriminated with colourful,Invalid,
202,rope and screws can be discriminated with thin,Valid,
2899,rope and screws can be discriminated with twisted,Valid,
2124,cat and goat can be discriminated with claws,Valid,
2616,cat and goat can be discriminated with paws,Valid,
209,hair and body can be discriminated with keratin,Valid,
359,jeans and gown can be discriminated with buttons,Valid,
210,jeans and gown can be discriminated with denim,Valid,
3882,jeans and gown can be discriminated with fades,Valid,
2931,bed and curtains can be discriminated with sizes,Invalid,
212,bed and curtains can be discriminated with headboard,Valid,
379,bed and curtains can be discriminated with mattress,Valid,
213,snail and wasp can be discriminated with antennae,Valid,
2535,orange and pepper can be discriminated with pulp,Valid,
3833,camel and deer can be discriminated with humps,Valid,
1822,camel and deer can be discriminated with spits,Valid,
216,lobster and tuna can be discriminated with claws,Valid,
1439,hut and cottage can be discriminated with straw,Invalid,
3527,cod and squid can be discriminated with fins,Valid,
2108,plug and bolts can be discriminated with prongs,Valid,
220,plug and bolts can be discriminated with cord,Valid,
474,avocado and broccoli can be discriminated with pit,Valid,
226,horse and cart can be discriminated with hooves,Valid,
228,plum and coconut can be discriminated with purple,Valid,
2677,corn and coconut can be discriminated with stalks,Valid,
231,corn and coconut can be discriminated with ears,Valid,
3728,corn and coconut can be discriminated with husks,Valid,
2676,saxophone and harp can be discriminated with mouthpiece,Valid,
2259,coat and trousers can be discriminated with sleeves,Valid,
2081,coat and trousers can be discriminated with zipper,Invalid,
236,tomato and beans can be discriminated with seeds,Valid,
