ID,question,concept,candidate_statement,SimCSE_score,usefulness
24eebfa678112100803da16dde148b2d|A|c|0,Where would you put a container can after you buy it?,pantry,pantry can store things,0.5914,No
24eebfa678112100803da16dde148b2d|A|c|1,Where would you put a container can after you buy it?,pantry,pantry can be used for storage,0.5741,No
24eebfa678112100803da16dde148b2d|A|c|2,Where would you put a container can after you buy it?,pantry,pantry can be used for storing things in,0.5741,No
24eebfa678112100803da16dde148b2d|A|c|4,Where would you put a container can after you buy it?,pantry,pantry have (a) store edible items,0.5166,No
24eebfa678112100803da16dde148b2d|E|c|0,Where would you put a container can after you buy it?,garage,garage is a place to store items,0.6174,No
24eebfa678112100803da16dde148b2d|E|c|1,Where would you put a container can after you buy it?,garage,garage can somewhere you can walk into,0.6145,No
24eebfa678112100803da16dde148b2d|E|c|2,Where would you put a container can after you buy it?,garage,garage can be used for storing things,0.6084,No
24eebfa678112100803da16dde148b2d|E|c|3,Where would you put a container can after you buy it?,garage,garage can be used for storage,0.607,No
24eebfa678112100803da16dde148b2d|E|c|4,Where would you put a container can after you buy it?,garage,garage is a store items,0.6047,No
85a15ec7e70ac05d1d94ac0c811c3108|A|c|3,What is rain a type of?,snow,snow is cold,0.5544,No
85a15ec7e70ac05d1d94ac0c811c3108|B|c|0,What is rain a type of?,disneyland,disneyland is a place or location,0.6856,Yes
85a15ec7e70ac05d1d94ac0c811c3108|B|c|1,What is rain a type of?,disneyland,disneyland is a place,0.6783,No
85a15ec7e70ac05d1d94ac0c811c3108|B|c|3,What is rain a type of?,disneyland,disneyland is a vacation destination,0.6588,No
85a15ec7e70ac05d1d94ac0c811c3108|B|c|4,What is rain a type of?,disneyland,disneyland is a geographic location,0.6587,No
85a15ec7e70ac05d1d94ac0c811c3108|D|c|0,What is rain a type of?,weather,weather is related to water falling,0.8906,Yes
85a15ec7e70ac05d1d94ac0c811c3108|D|c|1,What is rain a type of?,weather,weather is associated with the environment,0.7283,No
85a15ec7e70ac05d1d94ac0c811c3108|E|c|0,What is rain a type of?,forest,forest is a nature-related,0.7793,No
85a15ec7e70ac05d1d94ac0c811c3108|E|c|2,What is rain a type of?,forest,forest is associated with the environment,0.7651,No
de6424ea2db4f5f2651921a6c8a937aa|A|c|0,Where would you put condiments if you are planning to use them soon?,kitchen,kitchen can be used for storing edible things,0.6521,No
de6424ea2db4f5f2651921a6c8a937aa|A|c|1,Where would you put condiments if you are planning to use them soon?,kitchen,kitchen have (a) store edible items,0.6466,No
de6424ea2db4f5f2651921a6c8a937aa|A|c|2,Where would you put condiments if you are planning to use them soon?,kitchen,kitchen is a place to store items,0.594,No
de6424ea2db4f5f2651921a6c8a937aa|A|c|3,Where would you put condiments if you are planning to use them soon?,kitchen,kitchen can be used for food,0.5803,No
de6424ea2db4f5f2651921a6c8a937aa|A|c|4,Where would you put condiments if you are planning to use them soon?,kitchen,kitchen is a place to make food,0.579,No
de6424ea2db4f5f2651921a6c8a937aa|B|c|0,Where would you put condiments if you are planning to use them soon?,pantry,pantry have (a) store edible items,0.6655,No
de6424ea2db4f5f2651921a6c8a937aa|B|c|1,Where would you put condiments if you are planning to use them soon?,pantry,pantry can be used for food,0.6074,No
de6424ea2db4f5f2651921a6c8a937aa|B|c|2,Where would you put condiments if you are planning to use them soon?,pantry,pantry can store things,0.6023,No
de6424ea2db4f5f2651921a6c8a937aa|B|c|4,Where would you put condiments if you are planning to use them soon?,pantry,pantry can be found in a kitchen,0.5983,No
de6424ea2db4f5f2651921a6c8a937aa|C|c|0,Where would you put condiments if you are planning to use them soon?,table,table can be used for storing items,0.5151,No
de6424ea2db4f5f2651921a6c8a937aa|C|c|1,Where would you put condiments if you are planning to use them soon?,table,table can be used for serving dinner,0.509,No
de6424ea2db4f5f2651921a6c8a937aa|C|c|2,Where would you put condiments if you are planning to use them soon?,table,table can be used for storage,0.5045,No
de6424ea2db4f5f2651921a6c8a937aa|D|c|0,Where would you put condiments if you are planning to use them soon?,refrigerator,refrigerator can be used for storing food,0.7185,No
de6424ea2db4f5f2651921a6c8a937aa|D|c|1,Where would you put condiments if you are planning to use them soon?,refrigerator,refrigerator have (a) store edible items,0.7165,No
de6424ea2db4f5f2651921a6c8a937aa|D|c|3,Where would you put condiments if you are planning to use them soon?,refrigerator,refrigerator can store things,0.6977,No
de6424ea2db4f5f2651921a6c8a937aa|D|c|4,Where would you put condiments if you are planning to use them soon?,refrigerator,refrigerator can be used for keeping things cool,0.6767,No
de6424ea2db4f5f2651921a6c8a937aa|E|c|0,Where would you put condiments if you are planning to use them soon?,container,container have (a) connection to food,0.6584,No
de6424ea2db4f5f2651921a6c8a937aa|E|c|1,Where would you put condiments if you are planning to use them soon?,container,container can be used for storing things in,0.58,No
de6424ea2db4f5f2651921a6c8a937aa|E|c|2,Where would you put condiments if you are planning to use them soon?,container,container can store things,0.5794,No
de6424ea2db4f5f2651921a6c8a937aa|E|c|3,Where would you put condiments if you are planning to use them soon?,container,container can be found in a cupboard,0.5714,No
de6424ea2db4f5f2651921a6c8a937aa|E|c|4,Where would you put condiments if you are planning to use them soon?,container,container can be used for serving dinner,0.565,No
96f7e1283410538c7428c01b5b8a6594|C|c|0,What is an example of a continent?,ocean,ocean is not part of (a) the continent,0.7282,No
96f7e1283410538c7428c01b5b8a6594|C|c|3,What is an example of a continent?,ocean,ocean is not a continent,0.6628,Yes
96f7e1283410538c7428c01b5b8a6594|D|c|0,What is an example of a continent?,australia,australia is a country,0.7952,No
96f7e1283410538c7428c01b5b8a6594|D|c|1,What is an example of a continent?,australia,australia is a place,0.7932,No
96f7e1283410538c7428c01b5b8a6594|D|c|2,What is an example of a continent?,australia,australia can be found specifically named on a map,0.679,No
e11a98141cb4f67634d738e2652e819c|C|c|0,"When helping soldiers in the middle of fighting, where do medics practice practice their craft?",hospital,hospital can have people physically inside it,0.6342,No
e11a98141cb4f67634d738e2652e819c|C|c|1,"When helping soldiers in the middle of fighting, where do medics practice practice their craft?",hospital,hospital is somewhere people stay,0.5955,No
